	AHR	ARID3A	ARID5B	ARNT	ASCL2	ATF3	ATF4	ATF5	ATF6B	BACH1	BATF	BATF3	BBX	BCL11A	BHLHE41	CDC5L	CEBPD	CEBPG	CEBPZ	CREB3	CREB3L2	CUX1	DBP	DDIT3	DNMT1	DNTTIP1	EGR2	EPAS1	ETS2	ETV5	ETV6	FOS	FOXO3	GTF2B	GTF3A	HIF1A	HLX	HMG20A	HMG20B	HMGA1	HMGN3	IRF1	IRF2	IRF3	IRF5	IRF7	IRF8	IRF9	JUN	JUNB	JUND	KLF10	KLF3	KLF6	LCORL	LYL1	MAFB	MAFF	MBD2	MECP2	MEF2A	MITF	MSANTD3	MSC	MTF1	MXD1	MXD4	NFAT5	NFE2L1	NFE2L2	NFKB1	NFKB2	NR1H3	NR3C1	PKNOX1	PLSCR1	POU2F2	PPARG	RBPJ	REL	RELA	RELB	RREB1	RUNX1	SNAI3	SOX4	SP3	STAT1	STAT2	STAT3	STAT4	STAT5A	STAT6	TCF4	TCF7L2	TFDP2	TFEB	TFEC	TGIF1	THAP1	TSC22D1	XBP1	XPA	YBX1	YY1	ZBTB43	ZEB2	ZHX1	ZNF143	ZNF267	ZNF274	ZNF281	ZNF322	ZNF350	ZNF37A	ZNF394	ZNF444	ZNF524	ZNF580	ZNF677	ZNF75A
Cytokine_Signaling_in_Immune_system		CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 SQSTM1 XAF1	CSF2RA IFNGR2 IL1B PRKACB		IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A SOCS3 XAF1	GBP2 IFNGR1 IL1B IL1RN IL2RA PTAFR	CASP1 IFI35 IFIT2 IFIT3 IFITM2 IFITM3 ISG15 PTAFR XAF1	IFIT3 MT2A PTPN1 XAF1			IFI27 IFITM3	APBB1IP CSF2RA IFI27 IFI35 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG20 LYN NFKB1 PRKACB PTPN1 SOCS3 USP18		CASP1 IFI35 IFI6 IFIT2 IFIT3 IFNGR1 ISG15 ISG20 SQSTM1							APBB1IP IFI27 IFI35 IFITM3	CASP1 IFI27 IFIT2 IFITM1 IFITM2 IFITM3	IFI27 IFI35 IL1B IL3RA NFKB1			IFI27 IFIT1 MT2A		IFITM2 IFITM3 ISG20	CSF2RA IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA MAP3K8 MT2A NFKB1 SOCS3			GBP2 IFI27 IFIT2 IFITM3 ISG15 MT2A	GBP2 IFITM1 IL1RN PTAFR SQSTM1		APBB1IP CSF2RA IL1RN IL2RA LYN PTAFR SQSTM1 XAF1	GBP2 IFITM1 IFNGR2 IL1B IL2RA IL3RA LYN MT2A PTPN1 SOCS3 STAT2	IFI35 IFIT3 MT2A			APBB1IP CSF2RA GBP2 IFI30 IFI6 IFIT3 IFITM1 IFITM3 IFNGR1 IL1B IL1RN IL2RA ISG15 PRKACB PTAFR	IL1B IL1RN IL3RA	APBB1IP CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1			CASP1 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 STAT2 USP18 XAF1	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA ISG15 ISG20 MT2A PRKACB PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1	GBP2 IFI6 IFIT1 IFIT3 ISG15 ISG20 USP18 XAF1	CASP1 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN ISG15 ISG20 MT2A PRKACB PTPN1 SOCS3 STAT2 USP18 XAF1		CASP1 IFI27 IFI30 IFI35 IFI6 IFIT3 IFITM3 IFNGR1 ISG15 ISG20 SOCS3 SQSTM1 USP18				IFI27 IFI35 IFITM1 IFITM2 IL2RA NFKB1	IFNGR1 IL1RN						CSF2RA GBP2 IFI30 IFITM2 IFNGR1 IL1B IL2RA LYN PRKACB PTAFR	CASP1 IFI27 IFI6 IFITM3 IFNGR2 SQSTM1	IFNGR1 PRKACB			IFNGR1 IL2RA		IFNGR1 IL1B		CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PRKACB PTAFR PTPN1 SOCS3 SQSTM1		IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG20 LYN MT2A NFKB1 PTAFR PTPN1 SOCS3 SQSTM1 XAF1			APBB1IP CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PRKACB PTAFR PTPN1 SOCS3 STAT2	CASP1 CSF2RA GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 IL3RA ISG15	CSF2RA IFIT2 IFNGR1 IFNGR2 IL1B IL3RA LYN PRKACB PTAFR SOCS3	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 MT2A PRKACB PTAFR SOCS3 USP18	CSF2RA GBP2 IFNGR2 IL1B IL3RA PRKACB		IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 XAF1					CASP1 IFI35 IFI6 IFITM2 IFITM3 IFNGR1 IL1RN	APBB1IP IFITM1 IFNGR1 IL2RA	APBB1IP CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 STAT2 USP18 XAF1	APBB1IP CASP1 IFI35 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 MT2A PRKACB SQSTM1 STAT2 USP18 XAF1	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA ISG20 MAP3K8 MT2A PTAFR SOCS3 SQSTM1 STAT2	IFIT1 IFIT2 IFIT3 IFITM1 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG15 ISG20 LYN MAP3K8 MT2A PRKACB PTPN1	IFNGR1 IL1B IL2RA MT2A		GBP2 IFI27 IFI35 IFITM1 IFITM3 SQSTM1			IFITM3 IFNGR2 IL1B IL2RA ISG20 LYN NFKB1 PRKACB PTAFR PTPN1							IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA ISG15 LYN MAP3K8 MT2A PRKACB PTPN1 XAF1				IL1B SOCS3			IFI35 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 SOCS3		GBP2 IL1RN PRKACB		APBB1IP ISG15	IFI27 IFI35 IFIT2 IFIT3 IFITM1 IFITM2 IFNGR2 IL3RA ISG15 PTAFR SOCS3	IFI6 IFITM3 IFNGR2 ISG15 ISG20 LYN SQSTM1	IL1RN STAT2			
Cytosolic_tRNA_aminoacylation																																																PPA1 WARS																																																																									
DARPP-32_events						CALM1 PDE4B						CALM1 PDE4B																																																																																																													
DNA_Replication																																																																																			HSP90AA1 TUBA1A TUBB																			HSP90AA1 TUBA1A TUBB								TUBA1A TUBB		CDK5RAP2 HSP90AA1 PSMA4									
DNA_Replication_Pre-Initiation																																													PSMA4 PSMB9 PSME1 PSME2																																				PSMA4 PSMA7 PSMB9 PSME1 PSME2																																				PSMA4 PSME1 PSME2				
Death_Receptor_Signalling																																										CFLAR TNFSF10				CFLAR TNFSF10		CFLAR TNFSF10																																								CFLAR TNFSF10	CFLAR TNFSF10															CFLAR TNFSF10	CFLAR TNFSF10																
Degradation_of_beta-catenin_by_the_destruction_complex																		PSMA4 PSMB9																								PSMA4 PSMB9 PSME1 PSME2 UBE2D1			PSMA4 PSMB9 PSME1 PSME2																											PSMA4 PSMB9 PSME1 PSME2									PSMA4 PSMA7 PSMB9 PSME1 PSME2					PSMA4 PSME1 PSME2			PSMA4 PSMB9 PSME1 PSME2					PSMA4 PSMB9 PSME1																							PSMA4 PSME1 PSME2				
Destabilization_of_mRNA_by_AUF1_(hnRNP_D0)																	HSPA8 HSPB1 UBE2D1	PSMA4 PSMB9						HSPA8 UBE2D1						HSPA8 HSPB1 PSMA7		PSMA7 PSMB9 PSME1										PSMA4 PSMB9 PSME1 PSME2 UBE2D1			PSMA4 PSMB9 PSME1 PSME2					HSPB1 PSMA4 PSMB9 PSME2																						PSMA4 PSMB9 PSME1 PSME2						HSPA8 PSMA7 PSMB9 PSME1 UBE2D1			PSMA4 PSMA7 PSMB9 PSME1 PSME2					PSMA4 PSME1 PSME2			PSMA4 PSMB9 PSME1 PSME2					HSPB1 PSMA4 PSMB9 PSME1											HSPA8 PSMA4 PSMB9				HSPA8 HSPB1 PSMA7			HSPB1 PSMA4					PSMA4 PSME1 PSME2				
Developmental_Biology																																																																																																																									ALCAM NUMB PTPRC STIP1
Diabetes_pathways																																																																																							ATF3 HSPA5 IGFBP6 PLA2G7 RPLP0																																		
