	ARID3A	ASCL2	ATF4	BATF3	CUX1	DBP	ETV5	HIF1A	HMGA1	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	PKNOX1	PLSCR1	PPARG	RELA	SOX4	STAT1	STAT2	STAT3	STAT4	YBX1	ZEB2	ZNF274	ZNF394
AP-1_transcription_factor_network			CXCR4 DDIT3 HCK IRF1 PLAUR RCAN1 SLC3A2 TNFRSF4 TXN	ADM ATF4 CALM1 CCL2 CDKN1A DAB2 DUSP5 FABP4 GBP3 HCK ICAM1 IL2RA IRF1 LDHA MMP9 NFKB1 NR3C1 PLIN2 PTPN1 RCAN1 SKIL SLC3A2 SOCS3 STAT4 TIMP1 TXN			CCL2 CCND1 CDKN1A DDIT3 FKBP4 HSP90AA1 HSP90B1 HSPA8 HSPB1 LDHA LSP1 MMP9 NCOA4 PLAUR RAN YWHAH YWHAQ	ADM BATF3 BHLHE41 BNIP3 CCND2 EGR2 FKBP1A GBP3 GSN HCK HSPA8 ID2 IL2RA LSP1 MMP9 MT2A PCK2 PLAUR PTPN1 RAN SOCS3 STAT4 TNFRSF4	ATF3 BATF3 CCND1 CCND2 CEBPD CXCR4 DAB2 DDIT3 DUSP1 EGR2 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90AA1 HSP90B1 HSPA8 ID2 IL2RA IRF1 JUNB LSP1 MCL1 MDM2 MMP9 NCOA4 NUP214 PLIN2 PPARG RAN SMARCC2 STAT4 STMN1 TNFRSF18 TNFRSF9 YWHAH YWHAQ	BATF3 BHLHE41 CCL2 CCND2 DAB2 FABP4 GBP3 GSN HCK HLA-A ICAM1 IRF7 JUNB MCL1 MT2A NCOA4 PLAUR PPARG PTPN1 SOCS3 STAT1 STAT4 TNFRSF9 TXN			ADM CCL2 CITED2 DUSP5 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MT2A NCOA4 PLIN2 PPARG PTPN1 RAN RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TNIK TXN		ADM CITED2 FABP4 FKBP5 GBP3 IRF7 JUNB MCL1 MT2A PLIN2 PPARG PTPN1 SOCS3 STAT1 STAT4 TXN	ATF3 ATF4 BNIP3 CCND1 CDKN1A CEBPD CTNNB1 CXCR4 DUSP5 EGR2 FABP4 FKBP5 FOS HSPB1 PIM1 PLAUR SOCS3 STAT1 STMN1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN		ATF4 BATF3 CCND1 CCND2 DAB2 FKBP1A H2AFY HCK HIF1A HLA-A ID2 IL2RA IRF1 LSP1 MAP3K8 MCL1 MDM2 MT2A NCOA4 NFKB1 NR3C1 NUP214 PCK2 PLAUR PPARG PTPN1 RCAN1 SKIL SOCS3 STAT4 TNFRSF4 TXN YWHAQ	BATF3 CCL2 CCND2 DAB2 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 MT2A NFKB1 PCK2 PLAUR PLIN2 PTPN1 RAN SOCS3 STAT1 STAT4 TNFRSF4 TXN	ADM ATF4 BATF3 BNIP3 CCL2 CCND1 CCND2 CEBPD DAB2 FABP4 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 NFKB1 NR3C1 PCK2 PLAUR PLIN2 PPARG PTPN1 RAN SKIL SOCS3 STAT4 TNFRSF4 TNIK TXN YWHAH		CCND2 DAB2 EGR2 FABP4 FKBP1A FOS GBP3 GSN H2AFY HCK HLA-A HSP90B1 HSPA8 ID2 IRF1 IRF7 MMP9 MT2A PLIN2 RAN RCAN1 SOCS3 STAT1 STAT4 TNFRSF4 TXN	BATF3 DAB2 FKBP5 GSN H2AFY HLA-A HSP90B1 ICAM1 IRF1 IRF7 JUNB PLIN2 PPARG SOCS3 STAT1 STAT4 TNFRSF18 TNFRSF4 TNFRSF9 TXN			ADM CCL2 DAB2 DUSP5 FABP4 GBP3 GSN HLA-A ICAM1 IRF1 IRF7 LSP1 MCL1 MT2A NCOA4 PPARG STAT1 STAT4 TNIK TXN	BATF3 DAB2 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 PPARG RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN MAP3K8 MCL1 MMP9 MT2A PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 TNFRSF4 TXN				
C-MYC_pathway							CCND1 CDKN1A CLU DDIT3 FTH1 HMGA1 HSP90AA1 HSPD1 LDHA MMP9 SLC11A1	CCL5 CCND2 FTH1 ID2 MMP9 NBN SLC11A1	CCND1 CCND2 CEBPD CLU DDIT3 FTH1 HSP90AA1 HSPD1 ID2 MMP9 NCL PMAIP1 SLC11A1 ZFP36L1							CCND1 CDKN1A CEBPD CFLAR PIM1 PMAIP1 TFRC ZFP36L1						CCL5 CCND2 FTH1 HMGA1 HSPD1 ID2 MMP9 NBN NCL SLC11A1								CDKN1A CEBPD CLU FTH1 HSP90AA1 ID2 NDRG2 TFRC ZFP36L1	CCL5 CFLAR NBN	
Classical_antibody-mediated_complement_activation									C1QA C1QB C1QC		C1QA C1QB C1QC							C1QA C1QB C1QC		C1QA C1QB C1QC												
Cytokine_Signaling_in_Immune_system	CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 SQSTM1 XAF1	IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 MT2A SOCS3 XAF1	CASP1 IFI35 IFIT2 IFIT3 IFITM2 IFITM3 ISG15 PTAFR XAF1	APBB1IP CSF2RA IFI27 IFI35 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG20 LYN NFKB1 PRKACB PTPN1 SOCS3 USP18	CASP1 IFI27 IFIT2 IFITM1 IFITM2 IFITM3	IFI27 IFI35 IL1B IL3RA NFKB1		GBP2 IFITM1 IFNGR2 IL1B IL2RA IL3RA LYN MT2A PTPN1 SOCS3 STAT2	APBB1IP CSF2RA GBP2 IFI30 IFI6 IFIT3 IFITM1 IFITM3 IFNGR1 IL1B IL1RN IL2RA ISG15 PRKACB PTAFR	APBB1IP CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1		CASP1 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 STAT2 USP18 XAF1	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA ISG15 ISG20 MT2A PRKACB PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1	GBP2 IFI6 IFIT1 IFIT3 ISG15 ISG20 USP18 XAF1	CASP1 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN ISG15 ISG20 MT2A PRKACB PTPN1 SOCS3 STAT2 USP18 XAF1	CASP1 IFI27 IFI30 IFI35 IFI6 IFIT3 IFITM3 IFNGR1 ISG15 ISG20 SOCS3 SQSTM1 USP18		CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PRKACB PTAFR PTPN1 SOCS3 SQSTM1	IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG20 LYN MT2A NFKB1 PTAFR PTPN1 SOCS3 SQSTM1 XAF1	APBB1IP CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PRKACB PTAFR PTPN1 SOCS3 STAT2	CASP1 CSF2RA GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 IL3RA ISG15	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 MT2A PRKACB PTAFR SOCS3 USP18	IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 XAF1	CASP1 IFI35 IFI6 IFITM2 IFITM3 IFNGR1 IL1RN	APBB1IP CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 STAT2 USP18 XAF1	APBB1IP CASP1 IFI35 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 MT2A PRKACB SQSTM1 STAT2 USP18 XAF1	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA ISG20 MAP3K8 MT2A PTAFR SOCS3 SQSTM1 STAT2	IFIT1 IFIT2 IFIT3 IFITM1 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG15 ISG20 LYN MAP3K8 MT2A PRKACB PTPN1	IFI27 IFI6 IFITM1 IFITM3 IL1B IL3RA ISG15 LYN MAP3K8 MT2A PRKACB PTPN1 XAF1		IFI35 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 SOCS3	IFI27 IFI35 IFIT2 IFIT3 IFITM1 IFITM2 IFNGR2 IL3RA ISG15 PTAFR SOCS3
IFN-gamma_pathway				ADM ATF4 BCL2A1 CALM1 CCL2 CD82 CDKN1A CSF1 CTSD DAB2 DUSP5 FABP4 GBP3 HCK HMGA1 ICAM1 IL1B IL2RA IRF1 LDHA LYN MMP9 NBN NFKB1 NFKBIA NR3C1 PLIN2 PLK3 POU2F2 PTPN1 PVRL2 RCAN1 RIPK2 SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 TXN UBE2D1			CCL2 CCND1 CDKN1A CLU CYCS DDIT3 FCGR2B FKBP4 FTH1 GDF15 HMGA1 HSP90AA1 HSP90B1 HSPA8 HSPB1 HSPD1 LDHA LSP1 MMP9 NCOA4 PLAUR RAN SDC2 SLC11A1 YWHAH YWHAQ	ADM BATF3 BHLHE41 BNIP3 CCL5 CCND2 DDIT4 EGR2 FKBP1A FTH1 GBP3 GSN HCK HSPA8 ID2 IL1B IL2RA LSP1 LYN MMP9 MT2A NBN PCK2 PLAUR PTPN1 PTPRC PYCARD RAN RNF144B SLC11A1 SOCS3 SOD2 STAT4 TNFRSF4	ATF3 BATF3 BCL2A1 BTG2 CCND1 CCND2 CEBPD CLU CSF1 CTSD CXCR4 CYCS DAB2 DDIT3 DDIT4 DOK2 DUSP1 EGR2 EPS8 FABP4 FKBP1A FTH1 GBP3 GDF15 GREM1 GSN H2AFY HCK HIF1A HLA-A HSP90AA1 HSP90B1 HSPA8 HSPD1 ID2 IFNGR1 IL1B IL2RA IRF1 JUNB LSP1 MCL1 MDM2 MMP7 MMP9 NCL NCOA4 NFKBIA NUP214 PDCD4 PLIN2 PMAIP1 PPARG PTPRC RAN RNF144B RPS27L SDC2 SH3BP5 SLC11A1 SMARCC2 SOD2 SPP1 STAT4 STMN1 TNFRSF18 TNFRSF9 UBE2D1 YWHAH YWHAQ ZFP36L1	BATF3 BHLHE41 BID BTG2 CASP1 CCL2 CCL5 CCND2 CD82 CFLAR DAB2 DDIT4 EIF2AK2 FABP4 FTH1 GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF7 JUNB MCL1 MMP14 MMP7 MT2A NBN NCOA4 PARP14 PLAUR PPARG PTPN1 PVRL2 PYCARD RIPK2 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1			ADM CASP1 CCL2 CCL5 CD82 CFLAR CITED2 DAPP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MMP14 MT2A NBN NCOA4 PARP14 PLIN2 PPARG PTPN1 RAN RCAN1 RIPK2 SKIL SLA SOCS3 STAT1 STAT4 TAP1 TNFRSF9 TNIK TXN			ATF3 ATF4 BID BNIP3 BTG2 CASP1 CCND1 CD82 CDKN1A CEBPD CFLAR CSF1 CTNNB1 CTSD CXCR4 DOK2 DUSP5 EGR2 EIF2AK2 FABP4 FKBP5 FOS HSPB1 IFNGR1 MMP7 PIM1 PLAUR PLK3 PMAIP1 PTPRC SOCS3 STAT1 STMN1 TAP1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN ZFP36L1			BATF3 BID CCL2 CCL5 CCND2 DAB2 EIF2AK2 FTH1 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 LYN MMP14 MT2A NBN NFKB1 NFKB2 NFKBIA PARP14 PCK2 PLAUR PLIN2 POU2F2 PTPN1 RAN RRAS SLA SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN	ADM ATF4 BATF3 BID BNIP3 CCL2 CCL5 CCND1 CCND2 CEBPD CSF1R CYCS DAB2 DAPP1 DDIT4 EPS8 FABP4 FCGR2B FKBP1A FTH1 GBP3 GDF15 GREM1 GSN H2AFY HCK HIF1A HLA-A HMGA1 HSPA8 HSPD1 ICAM1 ID2 IFNGR1 IL1B IL2RA IRF1 IRF7 LSP1 LYN MAP3K8 MCL1 MMP14 MMP9 MT2A NBN NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 PCK2 PLAUR PLIN2 PPARG PTPN1 PTPRC PVRL2 PYCARD RAN RIPK2 RNF144B RRAS SH3BP5 SKIL SOCS3 SOD2 SPP1 STAT4 TAP1 TNFRSF4 TNIK TXN UBE2D1 YWHAH		CCL5 CCND2 CYCS DAB2 EGR2 FABP4 FKBP1A FOS FTH1 GBP3 GDF15 GSN H2AFY HCK HLA-A HMGA1 HSP90B1 HSPA8 HSPD1 ID2 IRF1 IRF7 LIMA1 MMP7 MMP9 MT2A NBN NCL NFKB2 NFKBIA PARP14 PLIN2 PYCARD RAN RCAN1 RIPK2 RNF144B RRAS SDC2 SH3BP5 SLC11A1 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN UBE2D1			BID BTG2 CASP1 CCL5 CCND2 CD82 CDKN1A CFLAR CITED2 CLU CTSD DAB2 DAPP1 DUSP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP5 FOS GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF1 IRF7 JUNB MMP14 MMP7 NBN NCOA4 NFKB2 NFKBIA PARP14 PLIN2 PLK3 POU2F2 PPARG PVRL2 PYCARD RIPK2 RRAS SDC2 SLC11A1 SOCS3 SOD2 STMN1 TAP1 TNFRSF18 TNFRSF4 TNFRSF9 TXN UBE2D1		BATF3 BID DAB2 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL1B IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NBN NCOA4 NFKB2 PARP14 PPARG PVRL2 PYCARD RCAN1 RNF144B RRAS SDC2 SH3BP5 SKIL SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1	ATF3 BATF3 BCL2A1 CCL5 CCND1 DDIT4 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL1B IL2RA IRF1 IRF7 JUN LYN MAP3K8 MCL1 MDM4 MMP9 MT2A NBN NFKB2 NFKBIA PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 RNF144B SH3BP5 SOD2 TAP1 TNFRSF4 TXN UBE2D1			BID CCL5 CD82 CFLAR GBP3 ICAM1 IRF1 MMP7 NBN PLAUR SLA SOCS3 SOD2 TNFRSF4 TXN	
IL12-mediated_signaling_events				CCL3 CCL4 EBI3 GADD45G IL18 IL1B IL2RA IRF1 NFKB1 NFKBIA RIPK2 STAT4		IL18 IL1B NFKB1 NFKBIA		IL1B IL2RA RAN STAT2 STAT4	CCL3 CCL4 EBI3 GADD45G HLA-A HLA-DRB1 IL18 IL1B IL2RA IRF1 NFKBIA RAN STAT4	EBI3 GADD45B HLA-A IL27 RIPK2 STAT1 STAT2 STAT4	CCL3 HLA-DRA HLA-DRB1 NFKBIA RAN	GADD45B HLA-DRB1 STAT1 STAT2	CCL3 HLA-A IL27 IL2RA IRF1 RAN RIPK2 STAT1 STAT2 STAT4		CCL3 IL27 RIPK2 STAT1 STAT2 STAT4			CCL3 HLA-A HLA-DRA HLA-DRB1 IL18 IL27 IL2RA IRF1 NFKB1 NFKB2 NFKBIA STAT4	CCL3 CCL4 EBI3 GADD45G HLA-A HLA-DRA IL27 IRF1 NFKB1 NFKB2 NFKBIA RAN STAT1 STAT4	CCL3 CCL4 EBI3 GADD45G HLA-A IL18 IL1B IL27 IL2RA IRF1 NFKB1 NFKB2 NFKBIA RAN RIPK2 STAT2 STAT4		FOS GADD45B HLA-A IL18 IRF1 NFKB2 NFKBIA RAN RIPK2 STAT1 STAT4	EBI3 GADD45G HLA-A IL18 IL27 IRF1 NFKBIA STAT1 STAT4		CCL4 EBI3 FOS GADD45B HLA-A IL27 IRF1 NFKB2 NFKBIA RIPK2 STAT2	CCL3 EBI3 HLA-A IL27 IRF1 NFKBIA RIPK2 STAT1 STAT2 STAT4	EBI3 GADD45G HLA-A IL1B IL27 IL2RA IRF1 NFKB2 STAT1 STAT2 STAT4	GADD45G IL18 IL1B IL2RA IRF1 JUN NFKB2 NFKBIA RAN	CCL3 CCL4 EBI3 IL1B IL27 IRF1 NFKBIA STAT1			CCL4 GADD45B HLA-A IL18 IL27 NFKB2
IL3-mediated_signaling_events							CCL2 CCND1 CDKN1A CLU CYCS DDIT3 FCGR2B FKBP4 FTH1 GDF15 HMGA1 HSP90AA1 HSP90B1 HSPA8 HSPB1 HSPD1 LDHA LSP1 MMP9 NCOA4 PLAUR RAN SDC2 SLC11A1 YWHAH YWHAQ	ADM BATF3 BHLHE41 BNIP3 CCL5 CCND2 DDIT4 EGR2 FKBP1A FTH1 GBP3 GSN HCK HSPA8 ID2 IL2RA IL3RA LSP1 LYN MMP9 MT2A NBN PCK2 PLAUR PTPN1 PTPRC PYCARD RAN RNF144B SLC11A1 SOCS3 SOD2 STAT4 TNFRSF4		BATF3 BHLHE41 BID BTG2 CASP1 CCL2 CCL5 CCND2 CD82 CFLAR DAB2 DDIT4 EIF2AK2 FABP4 FTH1 GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF7 JUNB MCL1 MMP14 MMP7 MT2A NBN NCOA4 PARP14 PLAUR PPARG PTPN1 PVRL2 PYCARD RIPK2 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1			ADM CASP1 CCL2 CCL5 CD82 CFLAR CITED2 DAPP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MMP14 MT2A NBN NCOA4 PARP14 PLIN2 PPARG PTPN1 RAN RCAN1 RIPK2 SKIL SLA SOCS3 STAT1 STAT4 TAP1 TNFRSF9 TNIK TXN			ATF3 ATF4 BID BNIP3 BTG2 CASP1 CCND1 CD82 CDKN1A CEBPD CFLAR CSF1 CTNNB1 CTSD CXCR4 DOK2 DUSP5 EGR2 EIF2AK2 FABP4 FKBP5 FOS HSPB1 MMP7 PIM1 PLAUR PLK3 PMAIP1 PTPRC SOCS3 STAT1 STMN1 TAP1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN ZFP36L1			BATF3 BID CCL2 CCL5 CCND2 DAB2 EIF2AK2 FTH1 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 LYN MMP14 MT2A NBN NFKB1 NFKB2 NFKBIA PARP14 PCK2 PLAUR PLIN2 POU2F2 PTPN1 RAN RRAS SLA SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN			CCL5 CCND2 CYCS DAB2 EGR2 FABP4 FKBP1A FOS FTH1 GBP3 GDF15 GSN H2AFY HCK HLA-A HMGA1 HSP90B1 HSPA8 HSPD1 ID2 IRF1 IRF7 LIMA1 MMP7 MMP9 MT2A NBN NCL NFKB2 NFKBIA PARP14 PLIN2 PYCARD RAN RCAN1 RIPK2 RNF144B RRAS SDC2 SH3BP5 SLC11A1 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN UBE2D1			BID BTG2 CASP1 CCL5 CCND2 CD82 CDKN1A CFLAR CITED2 CLU CTSD DAB2 DAPP1 DUSP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP5 FOS GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF1 IRF7 JUNB MMP14 MMP7 NBN NCOA4 NFKB2 NFKBIA PARP14 PLIN2 PLK3 POU2F2 PPARG PVRL2 PYCARD RIPK2 RRAS SDC2 SLC11A1 SOCS3 SOD2 STMN1 TAP1 TNFRSF18 TNFRSF4 TNFRSF9 TXN UBE2D1		BATF3 BID DAB2 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NBN NCOA4 NFKB2 PARP14 PPARG PVRL2 PYCARD RCAN1 RNF144B RRAS SDC2 SH3BP5 SKIL SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1	ATF3 BATF3 BCL2A1 CCL5 CCND1 DDIT4 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN LYN MAP3K8 MCL1 MDM4 MMP9 MT2A NBN NFKB2 NFKBIA PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 RNF144B SH3BP5 SOD2 TAP1 TNFRSF4 TXN UBE2D1			BID CCL5 CD82 CFLAR GBP3 ICAM1 IRF1 MMP7 NBN PLAUR SLA SOCS3 SOD2 TNFRSF4 TXN	
