	ARID3A	ASCL2	FOXO3	HMGN3	PKNOX1	PLSCR1	SOX4	YBX1
Electron_Transport_Chain	1	1	1	1	1	3.46546714658e-07	1	1
IL1_and_megakaryotyces_in_obesity	1	1	1	8.58669430781e-07	7.31316964423e-05	1	1	0.00357919723669
Oxidative_phosphorylation	1	1	1	1	1	8.4314870652e-07	1	1
Pathogenic_Escherichia_coli_infection	1	1	4.5726686928e-06	0.000910982784996	1	1	1	1
Regulation_of_toll-like_receptor_signaling_pathway	1	0.0653815441217	1	0.000616420784648	0.000337534431266	1	1	1.27812544914e-06
TP53_Network	1	1	1	1	1	1	1.15097833631e-06	1
Toll-like_receptor_signaling_pathway	1	0.0290598464052	1	0.000104369872632	1.10576418584e-05	1	1	4.49104805567e-08
Type_II_interferon_signaling_(IFNG)	1.57391702005e-07	1.48098163233e-06	1	1	5.121092439e-11	1	0.000214659109904	2.17483950637e-06
