	ARID3A	ASCL2	FOXO3	HMGN3	PKNOX1	PLSCR1	SOX4	YBX1
Electron_Transport_Chain	0	0	0	0	0	6	0	0
IL1_and_megakaryotyces_in_obesity	0	0	0	5	6	0	0	3
Oxidative_phosphorylation	0	0	0	0	0	5	0	0
Pathogenic_Escherichia_coli_infection	0	0	7	4	0	0	0	0
Regulation_of_toll-like_receptor_signaling_pathway	0	3	0	6	13	0	0	11
TP53_Network	0	0	0	0	0	0	5	0
Toll-like_receptor_signaling_pathway	0	3	0	6	13	0	0	11
Type_II_interferon_signaling_(IFNG)	5	5	0	0	12	0	4	6
