TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Zfp882	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Ccr5 Ethe1 Hpcal4 Nme4 Slc48a1 Stard10
Zfp944	Th17_upOnly.txt	Th17_upOnly	1170	up	9	6	0.0306802367866	1	Acsbg1 Aqp3 Cep170 L1cam Myof Tiparp
Zfp558	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Crispld2 Faim3 Gatsl3 Id2 Pik3ap1 Vim
Nkx1-2	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Aes Arrb2 Cnn2 Mapk3 Mctp2 Sema4d
Zkscan1	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Acnat1 Arrb2 Art2a-ps Ltb Rasgrp2 Serpinb1a
Klf10	Th17_upOnly.txt	Th17_upOnly	1170	up	60	26	0.0310880751397	1	Aqp3 Avil C920009B18Rik Cdk5 Cyp26b1 Cyth4 Ddit3 Emp1 Fam129b Fxyd7 Ifitm3 Ikzf3 Il2rb Jak3 Kcnk7 Ly6e Mllt6 Nek6 Ninj1 Nr1d1 Rara Rrad Samd1 Slc25a35 Stard8 Tiparp
Hmg20b	Th17_downOnly.txt	Th17_downOnly	1248	up	54	25	0.0311944250278	1	Apobec2 Aste1 Cd160 Cd180 Cd83 Dhrs3 Extl3 Fam160a1 Fastkd2 Gfod1 Il1rap Lad1 Nkx1-2 Nox1 Olfml2a Pappa2 Phlpp1 Phtf2 Rufy3 Slc1a2 Spry4 Tmem158 Tnfsf10 Trmt11 Xdh
Klf6	Th17_upOnly.txt	Th17_upOnly	1170	up	44	20	0.0323992900379	1	Adora2a Aim1 B3gnt5 Cd5l Cdc42ep3 Crip1 Dusp3 Flot2 Gpr15 Neurl1b Osm P4ha2 Paqr8 Ppp2r5b S100a13 Tmem176a Trove2 Trp53i13 Tubb2b Vim
Ncoa2	Th17_upOnly.txt	Th17_upOnly	1170	down	16	9	0.032914088876	1	Adamtsl5 C1rl Cd24a Cisd3 Gngt2 Kcnq2 Ripk3 S100a6 Slamf7
Zfp750	Th17_upOnly.txt	Th17_upOnly	1170	down	16	9	0.032914088876	1	2310022B05Rik Acp5 Angptl6 Anxa3 Mex3d Muc2 Otogl Rcor2 Syde1
