	Batf	Etv6	Fosl2	Hif1a	Irf4	Maf	Nfe2l2	Rorc	Stat3
Gltscr1	3.0	0	2.0	0	0	0	0	0	2.0
Gltscr1l	7.0	0	1.0	0	0	0	0	0	0
Gltscr2	7.0	2.0	5.0	1.0	5.0	2.0	0	1.0	2.0
Glud1	15.0	0	6.0	1.0	5.0	8.0	4.0	1.0	0
Glul	2.0	2.0	0	0	3.0	1.0	0	0	0
Glyat	4.0	0	4.0	0	1.0	0	0	1.0	0
Glyctk	1.0	2.0	0	0	1.0	0	0	0	0
Glyr1	2.0	1.0	2.0	1.0	2.0	0	0	1.0	0
Gm10007	3.0	0	2.0	0	3.0	0	0	0	0
Gm10012	0	0	0	0	0	2.0	1.0	1.0	0
Gm10033	0	2.0	0	0	0	0	0	0	1.0
Gm10069	3.0	0	2.0	0	4.0	0	4.0	0	0
Gm10125	8.0	0	5.0	1.0	5.0	2.0	0	0	5.0
Gm10190	2.0	0	0	1.0	0	2.0	0	0	0
Gm10371	1.0	0	0	0	0	0	0	0	0
Gm10390	4.0	0	4.0	0	3.0	2.0	0	0	5.0
Gm10432	2.0	0	2.0	0	0	0	0	0	0
Gm10433	10.0	4.0	3.0	3.0	8.0	5.0	1.0	4.0	1.0
Gm10445	2.0	0	0	0	0	0	0	0	0
Gm1045	4.0	0	2.0	0	0	0	0	0	0
Gm10510	4.0	0	2.0	0	1.0	3.0	0	1.0	0
Gm10516	0	0	0	0	0	1.0	0	0	0
Gm10548	0	0	0	0	3.0	2.0	0	1.0	0
Gm10549	0	0	2.0	0	0	2.0	0	0	0
Gm10556	2.0	0	2.0	0	1.0	2.0	0	0	0
Gm10560	16.0	1.0	5.0	5.0	12.0	12.0	9.0	4.0	6.0
Gm10584	4.0	0	2.0	1.0	2.0	2.0	0	0	0
Gm10638	2.0	0	0	0	0	2.0	0	0	0
Gm10640	6.0	2.0	4.0	2.0	8.0	9.0	1.0	2.0	8.0
Gm10653	0	0	2.0	0	0	0	0	1.0	0
Gm10658	4.0	1.0	0	2.0	5.0	2.0	0	0	1.0
Gm10684	4.0	0	4.0	0	1.0	0	0	0	1.0
Gm1070 	2.0	0	0	0	0	0	0	0	0
Gm10714	3.0	0	2.0	0	0	0	1.0	0	0
Gm10731	2.0	2.0	1.0	2.0	2.0	0	0	0	0
Gm10754	5.0	0	4.0	0	1.0	0	0	0	0
Gm10767	2.0	0	1.0	0	3.0	0	0	1.0	0
Gm10768	0	0	0	0	0	2.0	0	0	0
Gm10785	4.0	0	3.0	1.0	3.0	0	0	0	0
Gm10787	5.0	0	5.0	0	1.0	0	0	0	0
Gm10789	1.0	0	1.0	0	2.0	0	0	0	0
Gm10791	3.0	0	0	0	1.0	2.0	0	0	0
Gm10804	12.0	1.0	9.0	2.0	8.0	4.0	0	2.0	7.0
Gm10814	0	0	0	0	1.0	3.0	0	0	4.0
Gm10863	2.0	0	0	0	0	1.0	0	1.0	0
Gm10941	2.0	2.0	2.0	2.0	3.0	1.0	0	0	0
Gm11110	10.0	0	7.0	2.0	5.0	4.0	0	1.0	3.0
Gm11127	0	0	2.0	0	0	0	0	0	0
Gm11186	3.0	0	2.0	0	2.0	2.0	0	4.0	0
Gm11190	1.0	0	1.0	0	0	0	0	1.0	0
Gm11201	3.0	2.0	3.0	0	3.0	0	0	0	0
Gm11213	3.0	0	2.0	0	3.0	1.0	0	0	0
Gm1123	2.0	0	2.0	0	0	0	0	0	1.0
Gm11346	7.0	0	3.0	0	7.0	1.0	0	0	3.0
Gm11413	3.0	0	2.0	0	1.0	1.0	0	1.0	1.0
Gm11423	2.0	1.0	0	0	2.0	0	0	0	0
Gm11437	11.0	0	4.0	0	1.0	2.0	0	0	0
Gm11468	4.0	0	6.0	0	1.0	3.0	0	3.0	1.0
Gm11517	4.0	0	0	0	2.0	0	0	0	0
Gm11529	19.0	0	9.0	0	11.0	8.0	0	2.0	2.0
Gm11532	1.0	0	2.0	0	3.0	0	0	0	0
Gm11538	2.0	0	1.0	0	0	2.0	0	0	0
Gm11541	11.0	0	5.0	0	6.0	3.0	0	3.0	4.0
Gm11548	3.0	0	5.0	0	1.0	1.0	0	0	0
Gm11559	2.0	0	2.0	0	1.0	2.0	0	0	0
Gm11562	1.0	0	2.0	0	0	0	0	0	0
Gm11568	4.0	0	3.0	0	1.0	2.0	0	0	0
Gm11627	1.0	0	1.0	0	0	0	0	1.0	0
Gm11665	2.0	1.0	2.0	0	2.0	1.0	2.0	0	0
Gm11696	19.0	2.0	9.0	2.0	8.0	8.0	1.0	5.0	4.0
Gm11710	0	0	0	0	0	2.0	0	0	0
Gm11744	3.0	2.0	0	0	3.0	2.0	0	0	1.0
Gm11747	1.0	0	2.0	0	0	0	0	0	0
Gm11937	1.0	0	2.0	0	0	0	0	0	0
Gm11944	4.0	0	4.0	0	5.0	2.0	0	0	1.0
Gm11961	2.0	2.0	2.0	1.0	0	0	0	0	0
Gm11974	7.0	3.0	8.0	4.0	6.0	6.0	2.0	3.0	6.0
Gm11978	0	0	0	0	1.0	0	0	0	0
Gm11981	3.0	0	0	0	2.0	0	0	0	1.0
Gm12108	1.0	0	0	0	0	0	0	0	0
