	Atf6	Batf	Bcl11b	Crem	Ddit3	Egr2	Etv6	Fosl2	Hif1a	Id2	Ikzf3	Ikzf4	Irf4	Irf8	Lef1	Maf	Nfatc2	Nfe2l2	Pou2af1	Prkrir	Rorc	Satb1	Sp4	Stat3	Zeb1	Zfp36l2
1810026J23Rik	0.647274909743	0	-0.621903572072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810032O08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.48777086782	0	-0.686728702182	0
1810037I17Rik	0	0	0	0	-0.645399249061	0	0.534271575131	0	0.643773640434	0	0	0	0	0.572267948437	0	0	0	0	0	0	0	0	0	0	0	0
1810043H04Rik	0	0	0	0	-0.649909725122	-1.18571053706	0	0	0	0	-0.653129944811	0.686961534072	0	0	0	0	0	0	0	0	0	-0.637061373839	0	0	0	-0.609308212234
1810058I24Rik	0.611283048113	0	0	0	0	0	0	0	0	0	-0.628058492533	0	0	0	0	-0.621881887091	0	0	0	0	0	0	0	0	0	0
2010016I18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.631958340103	0	0
2010107E04Rik	0.647972196428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.607938987875	0
2010111I01Rik	0	-0.629760763546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.620869998231	0	0	0	0	0	0
2010204K13Rik	0.624154663592	0	0	0	0	0	0	0	0.599239275125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010320M18Rik	0	0	0	0	0	0	-0.638127552075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210013O21Rik	0	0	0	0	0	0	0	0	0	0.6627991818	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210016F16Rik	0	0	0	0	0	0	-0.38326516985	0	0.621840265235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.633696761876	0
2210016L21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.618463617375	0	0	0	0
2300009A05Rik	0	0	0	0	-0.638066111295	0	0	0	0	0	0	-0.786258364776	0	0	0	0	0.648503321179	0	0	0	0	0	0.640648883286	0	0	0
2310011J03Rik	0	0	0	0	0	0	0	0	0.63838524631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.263934647591	0
2310022A10Rik	0	-0.607009604241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310022B05Rik	0	0.590661165317	0	0	0	0	0	0	0.687272460837	0	0.61454991041	0	0	0	0	0	0	0	0	0	0	0	0	0.638349640182	0	0
2310033P09Rik	0	0	0	0	-0.608314317269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.624487962155	0	0	0
2310036O22Rik	0	0	0	0	0	0.186011784317	0	0	0	0	0	0.28703873506	0	0	0	0	0	0	0	0	0	0	0	0	0.305627674892	0
2310039H08Rik	0.654482183601	0	0	0	0	0	0	0.664549816454	0	0	0	0	0	0	0	0	0.645835828713	0	0	0	0	0	0	0	0.66059481513	0
2310045N01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.293572356074	0	0	0	0	0	0	0
2310057M21Rik	0	0	0	0	0	0	0	0	0	0	-0.656314022865	0.345952367091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410002F23Rik	0	0	0	0	0	0	0	0	0	0	-0.643660836411	0	0	0	0.640340616204	0	0	0	0	0	0	0	0.200776908123	0	0	0
2410004B18Rik	0	0	0	0	0	0	0	-0.63255451194	0	0	-0.602614781412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410006H16Rik	0	0	0	0	0	0	0	0.671291243464	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2410015M20Rik	0.595924937991	0	0	0	-0.664467575747	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.463839928642	0	-0.338200259189	0
2410016O06Rik	0	0	0	0	0	0	0	0	0	0	-0.6303101164	0	0	0	0.651882936216	0	0	0	0	0	0	0	0	0	0	0
2410089E03Rik	0	0	-0.619026697917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2510003E04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.83280384745	0
2510039O18Rik	-0.616623279182	0	0	0	0	0	0	0	0.611244474808	0	0	0	0	0	0.641388029819	0	0	0	0	0	0	0	0.251226205473	0	0	-0.648868846031
2610001J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421121247018	0	0	0.653773028207	0	0	0	0	0	0	0	0	0
2610002J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3418001984	0	0	0
2610002M06Rik	0	0	0	0	0	0	0	0	0	0	-0.62483465868	0	0	0	0	-0.609864793416	0	0	0	0	0	0	0	0	0	0
2610005L07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.62768623369	0	0	0	0	0	0	0	0
2610008E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.640184011113	0	0	0	0	0	0	0	0
2610020H08Rik	0	0	-0.601414879126	0	0	0	0	0	0	0.631124563259	0	0	0	0	0	0	0.6255047293	0.659458140069	0	0	0	0	-0.84523647333	0	0	0
2610301B20Rik	0.61565963475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610507B11Rik	0	0	-0.636801154066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2610524H06Rik	0.596815091204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700029M09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.626294780739	0	0	0	0.287200523373	0
2700060E02Rik	0.645099968723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2700094K13Rik	0.647933623122	0	0	0	0	0	0.315496164966	0	0	0	-0.60542298646	0	0	0.239198647381	0	0	0	0	-0.146169173531	0	0	0	0	0	0.443968622404	0
2700097O09Rik	0	0	0	0	0	0	0	0	0.669315103328	0	0	0	0	0	0	0	0.610473008689	0	0	0	0	0	0	0	0	0
2700099C18Rik	0	0	0	0	0	0	0	0.586281611503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810002D19Rik	0	0	0	0	0	-0.601151045189	0	0	0	0	0	0	0	0	0	0	0	0.586946259236	0	0	0	0	0	0	0	0
2810004N23Rik	0	0	0	0	0	0	0	0	0	0	-0.64139475589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2810006K23Rik	0	0	-0.636244572886	-0.651279493093	0	0	0	0	0	0	0	0	0	0	0	0	0.664526079036	0.616021630391	0	0	0	0	0	0	0	-0.620989188704
2810417H13Rik	0.677130648549	-0.667355292392	0	0	0	0	0	0	0	0	-0.608520324589	0	0	0	0	0	0.676326543479	0	0	0	0	0	0	0	0	0
2810428I15Rik	0.621487171126	0	0	0	0	0	0	0	0	0	0	0	0	0	0.665312381041	0	0	0	0	0	0	0	0	0	0	0
