Regulator	Target	Weight	stroke
Irf4	Camk2d	-1.8666	rgb(116,155,235)
Rorc	Camk4	-1.9505	rgb(111,153,236)
Fosl2	Camk4	1.9726	rgb(222,123,124)
Irf4	Capg	-1.8927	rgb(114,154,235)
Stat3	Capg	1.726	rgb(222,135,135)
Fosl2	Capg	1.8546	rgb(222,128,129)
Hif1a	Capg	1.6018	rgb(221,140,141)
Batf	Capn2	1.7761	rgb(222,132,133)
Maf	Capn2	-1.7316	rgb(123,160,233)
Rorc	Capn2	-1.814	rgb(118,157,234)
Irf4	Capsl	1.8838	rgb(222,127,128)
Irf4	Capza2	1.868	rgb(222,128,129)
Batf	Casp1	1.8455	rgb(222,129,130)
Irf4	Casp1	1.9137	rgb(222,126,126)
Maf	Casp1	-1.9126	rgb(113,154,235)
Batf	Casp3	-1.9693	rgb(110,152,236)
Maf	Casp3	-1.9259	rgb(112,153,235)
Irf4	Casp4	1.8233	rgb(222,130,131)
Maf	Casp4	-1.8286	rgb(118,157,234)
Stat3	Casp4	1.584	rgb(221,141,142)
Batf	Casp6	1.8027	rgb(222,131,132)
Irf4	Casp6	1.7058	rgb(222,135,136)
Stat3	Casp6	1.8655	rgb(222,128,129)
Rorc	Casp6	-1.7308	rgb(123,160,233)
Fosl2	Casp6	1.9088	rgb(222,126,127)
Irf4	Cast	1.7604	rgb(222,133,134)
Maf	Cast	-1.6575	rgb(127,162,233)
Stat3	Cast	1.5821	rgb(221,141,142)
Irf4	Cblb	1.8765	rgb(222,127,128)
Maf	Cblb	-1.9172	rgb(113,154,235)
Rorc	Cblb	-1.966	rgb(110,152,236)
Fosl2	Cblb	1.977	rgb(222,123,123)
Irf4	Cbx4	1.7976	rgb(222,131,132)
Etv6	Cc2d1b	-1.5156	rgb(135,167,231)
Batf	Ccdc109b	1.7506	rgb(222,133,134)
Hif1a	Ccdc115	1.9181	rgb(222,125,126)
Hif1a	Ccdc134	1.8235	rgb(222,130,131)
Hif1a	Ccdc58	1.8292	rgb(222,130,130)
Batf	Ccdc63	1.9333	rgb(222,125,126)
Irf4	Ccdc63	1.9712	rgb(222,123,124)
Stat3	Ccdc63	1.9185	rgb(222,125,126)
Rorc	Ccdc63	1.9674	rgb(222,123,124)
Hif1a	Ccdc63	1.5898	rgb(221,141,142)
Irf4	Ccdc64	1.963	rgb(222,123,124)
Stat3	Ccdc64	1.8765	rgb(222,127,128)
Nfe2l2	Ccdc84	-1.8781	rgb(115,155,235)
Hif1a	Ccdc84	1.8586	rgb(222,128,129)
Hif1a	Ccdc85b	1.5441	rgb(221,143,144)
Batf	Ccl20	1.7411	rgb(222,134,135)
Stat3	Ccl20	1.8273	rgb(222,130,131)
Rorc	Ccl20	1.8169	rgb(222,130,131)
Fosl2	Ccl20	-1.8604	rgb(116,156,235)
Batf	Ccl3	-1.8715	rgb(115,155,235)
Irf4	Ccl3	-1.8034	rgb(119,157,234)
Maf	Ccl3	-1.6776	rgb(126,162,233)
Fosl2	Ccl3	-1.7066	rgb(124,161,233)
Batf	Ccl4	-1.7395	rgb(123,160,234)
Maf	Ccl4	-1.5823	rgb(131,165,232)
Fosl2	Ccl4	-1.7108	rgb(124,160,233)
Fosl2	Ccl5	1.8634	rgb(222,128,129)
Irf4	Ccnd2	1.8678	rgb(222,128,129)
Maf	Ccnd2	-1.9701	rgb(110,152,236)
Irf4	Ccnd3	1.9692	rgb(222,123,124)
Hif1a	Ccnd3	1.858	rgb(222,128,129)
Batf	Ccne1	-1.6381	rgb(128,163,233)
Fosl2	Ccne1	-1.8063	rgb(119,157,234)
Batf	Ccnf	-1.6022	rgb(130,164,232)
Irf4	Ccng2	1.6816	rgb(222,137,137)
Fosl2	Ccng2	1.7189	rgb(222,135,136)
Hif1a	Ccng2	1.8791	rgb(222,127,128)
Batf	Ccr4	1.9245	rgb(222,125,126)
Hif1a	Ccr4	1.7823	rgb(222,132,133)
Maf	Ccr5	1.8426	rgb(222,129,130)
Fosl2	Ccr5	1.6995	rgb(222,136,137)
Batf	Ccr6	1.8289	rgb(222,130,130)
Irf4	Ccr6	1.9636	rgb(222,123,124)
Maf	Ccr6	-1.9645	rgb(110,152,236)
Rorc	Ccr6	1.9663	rgb(222,123,124)
Fosl2	Ccr6	-1.8528	rgb(116,156,235)
Irf4	Ccr7	1.9635	rgb(222,123,124)
Stat3	Ccr7	-1.962	rgb(110,152,236)
Rorc	Ccr7	-1.9811	rgb(109,152,236)
Fosl2	Ccr7	1.9766	rgb(222,123,124)
Hif1a	Ccr7	1.8138	rgb(222,130,131)
Irf4	Ccr8	-1.7369	rgb(123,160,234)
Rorc	Ccr8	-1.6104	rgb(130,164,232)
Fosl2	Ccr8	-1.5699	rgb(132,165,232)
Irf4	Cd101	-1.9689	rgb(110,152,236)
Fosl2	Cd101	1.9649	rgb(222,123,124)
Batf	Cd2	1.9059	rgb(222,126,127)
Rorc	Cd2	-1.967	rgb(110,152,236)
Fosl2	Cd2	1.9457	rgb(222,124,125)
Hif1a	Cd2	1.8253	rgb(222,130,131)
Batf	Cd200	1.9387	rgb(222,124,125)
Irf4	Cd200	1.9764	rgb(222,123,124)
Stat3	Cd200	1.5452	rgb(221,143,144)
Fosl2	Cd200	1.943	rgb(222,124,125)
Batf	Cd200r1	1.7495	rgb(222,133,134)
Maf	Cd200r1	-1.7664	rgb(121,159,234)
Irf4	Cd226	-1.8865	rgb(115,155,235)
Maf	Cd226	-1.8024	rgb(119,157,234)
Rorc	Cd226	1.7365	rgb(222,134,135)
Irf4	Cd247	1.9723	rgb(222,123,124)
Irf4	Cd24a	1.5778	rgb(221,142,142)
Stat3	Cd24a	1.5813	rgb(221,141,142)
Hif1a	Cd24a	1.5386	rgb(221,143,144)
Irf4	Cd27	-1.8542	rgb(116,156,235)
Rorc	Cd27	-1.8601	rgb(116,156,235)
Batf	Cd274	-1.9266	rgb(112,153,235)
Irf4	Cd274	-1.9597	rgb(111,152,236)
Maf	Cd274	-1.7001	rgb(125,161,233)
Irf4	Cd28	1.9885	rgb(222,122,123)
Stat3	Cd28	1.9908	rgb(222,122,123)
Fosl2	Cd28	1.9827	rgb(222,122,123)
Batf	Cd3d	-1.8209	rgb(118,157,234)
Irf4	Cd3e	-1.7186	rgb(124,160,233)
Hif1a	Cd3e	1.6817	rgb(222,137,137)
Hif1a	Cd3eap	1.8623	rgb(222,128,129)
Irf4	Cd3g	-1.9279	rgb(112,153,235)
Maf	Cd3g	-1.8586	rgb(116,156,235)
Rorc	Cd3g	-1.7573	rgb(122,159,234)
Batf	Cd44	1.8143	rgb(222,130,131)
Irf4	Cd44	-1.9594	rgb(111,152,236)
Fosl2	Cd44	-1.9441	rgb(111,153,235)
Irf4	Cd47	1.8076	rgb(222,131,132)
Fosl2	Cd47	1.86	rgb(222,128,129)
Batf	Cd5	-1.6263	rgb(129,163,232)
Stat3	Cd5	1.9525	rgb(222,124,125)
Fosl2	Cd52	1.8458	rgb(222,129,130)
Maf	Cd53	-1.7762	rgb(121,158,234)
Stat3	Cd53	1.9266	rgb(222,125,126)
Rorc	Cd53	-1.7836	rgb(120,158,234)
Fosl2	Cd53	1.9192	rgb(222,125,126)
Batf	Cd5l	1.873	rgb(222,127,128)
Irf4	Cd5l	1.9193	rgb(222,125,126)
Stat3	Cd5l	1.6075	rgb(221,140,141)
Fosl2	Cd5l	-1.83	rgb(118,157,234)
Batf	Cd6	-1.9089	rgb(113,154,235)
Stat3	Cd6	1.8027	rgb(222,131,132)
Irf4	Cd69	-1.9651	rgb(110,152,236)
Maf	Cd69	-1.9201	rgb(113,154,235)
Maf	Cd80	-1.6081	rgb(130,164,232)
Etv6	Cd80	1.5327	rgb(221,144,145)
Irf4	Cd82	-1.9375	rgb(112,153,235)
Maf	Cd82	-1.95	rgb(111,153,236)
Hif1a	Cd82	1.6815	rgb(222,137,137)
Batf	Cd83	1.8575	rgb(222,128,129)
Irf4	Cd83	-1.913	rgb(113,154,235)
Maf	Cd83	-1.9188	rgb(113,154,235)
Stat3	Cd83	-1.9272	rgb(112,153,235)
Rorc	Cd83	1.8347	rgb(222,129,130)
Fosl2	Cd83	-1.9381	rgb(112,153,235)
Maf	Cd84	-1.5387	rgb(133,166,232)
Fosl2	Cd86	1.8563	rgb(222,128,129)
Maf	Cd9	-1.5729	rgb(132,165,232)
Fosl2	Cd9	-1.8552	rgb(116,156,235)
Irf4	Cdc14b	1.6042	rgb(221,140,141)
Irf4	Cdc25b	1.848	rgb(222,129,130)
Stat3	Cdc25b	1.6202	rgb(221,140,140)
Batf	Cdc42ep3	1.5937	rgb(221,141,142)
Maf	Cdc42ep3	1.8093	rgb(222,131,131)
Hif1a	Cdc42se1	1.6656	rgb(222,137,138)
Stat3	Cdk6	1.9786	rgb(222,122,123)
Hif1a	Cdk6	1.8285	rgb(222,130,131)
Irf4	Cdkn1a	1.8187	rgb(222,130,131)
Maf	Cdkn1a	-1.8237	rgb(118,157,234)
Stat3	Cdkn1a	1.6738	rgb(222,137,138)
Hif1a	Cdkn1a	1.9412	rgb(222,124,125)
Stat3	Cdkn1b	1.7835	rgb(222,132,133)
Rorc	Cdkn1b	-1.6984	rgb(125,161,233)
Hif1a	Cdkn1b	1.8994	rgb(222,126,127)
Batf	Cdkn2c	-1.808	rgb(119,157,234)
Maf	Cdkn2c	1.7582	rgb(222,133,134)
Irf4	Cdkn2d	1.9657	rgb(222,123,124)
Stat3	Cdkn2d	1.9626	rgb(222,123,124)
Hif1a	Cdkn2d	1.8948	rgb(222,126,127)
Maf	Cdon	-1.7034	rgb(125,161,233)
Rorc	Cdon	1.791	rgb(222,131,132)
Maf	Cdyl2	-1.9169	rgb(113,154,235)
Maf	Celf2	-1.7566	rgb(122,159,234)
Rorc	Celf2	-1.8812	rgb(115,155,235)
Irf4	Cenpt	1.6035	rgb(221,140,141)
Hif1a	Cep170	1.636	rgb(222,139,140)
Irf4	Cep97	1.6109	rgb(221,140,141)
Stat3	Cep97	1.5487	rgb(221,143,144)
Maf	Cept1	-1.5066	rgb(135,167,231)
Irf4	Cerk	-1.5712	rgb(132,165,232)
Rorc	Cerk	1.783	rgb(222,132,133)
Stat3	Cetn4	1.8749	rgb(222,127,128)
Maf	Cflar	-1.9623	rgb(110,152,236)
Stat3	Cflar	1.9043	rgb(222,126,127)
Batf	Chaf1a	-1.6338	rgb(128,163,233)
Irf4	Chchd10	1.5189	rgb(221,144,145)
Irf4	Chd7	1.9787	rgb(222,122,123)
Stat3	Chd7	1.9449	rgb(222,124,125)
Rorc	Chd7	-1.8357	rgb(117,156,234)
Fosl2	Chd7	1.978	rgb(222,122,123)
Maf	Chd9	-1.8748	rgb(115,155,235)
Batf	Chm	1.8227	rgb(222,130,131)
Irf4	Chm	1.9438	rgb(222,124,125)
Stat3	Chm	1.8851	rgb(222,127,128)
Fosl2	Chm	1.7967	rgb(222,131,132)
Irf4	Chmp2a	1.7764	rgb(222,132,133)
Stat3	Chmp4b	1.8957	rgb(222,126,127)
Rorc	Chmp4b	-1.7345	rgb(123,160,233)
Maf	Chmp5	-1.5424	rgb(133,166,232)
Etv6	Chpf	-1.5293	rgb(134,166,232)
Maf	Chst11	-1.601	rgb(130,164,232)
Fosl2	Chst11	-1.8364	rgb(117,156,234)
Batf	Chst2	1.7723	rgb(222,132,133)
Maf	Chst2	-1.833	rgb(117,156,234)
Stat3	Chst2	1.9482	rgb(222,124,125)
Rorc	Chst2	1.9196	rgb(222,125,126)
Fosl2	Chst2	-1.8542	rgb(116,156,235)
Hif1a	Chst2	-1.5694	rgb(132,165,232)
Maf	Chsy1	-1.9254	rgb(112,153,235)
Maf	Ciapin1	-1.9089	rgb(113,154,235)
Fosl2	Ciapin1	-1.7548	rgb(122,159,234)
Stat3	Cic	1.9129	rgb(222,126,127)
Fosl2	Cirh1a	-1.7269	rgb(123,160,233)
Batf	Cisd2	-1.5547	rgb(133,166,232)
Batf	Cisd3	1.729	rgb(222,134,135)
Hif1a	Cisd3	1.5223	rgb(221,144,145)
Hif1a	Cish	1.8562	rgb(222,128,129)
Batf	Cited2	1.6647	rgb(222,137,138)
Irf4	Cited2	1.7794	rgb(222,132,133)
Maf	Cited2	-1.8611	rgb(116,156,235)
Stat3	Cited2	1.7633	rgb(222,133,134)
Hif1a	Cited2	1.8318	rgb(222,129,130)
Hif1a	Clcn3	1.9103	rgb(222,126,127)
Batf	Cldnd1	1.9024	rgb(222,126,127)
Irf4	Cldnd1	1.8863	rgb(222,127,128)
Hif1a	Cldnd1	-1.5181	rgb(135,167,231)
Irf4	Clec2d	1.7278	rgb(222,134,135)
Batf	Clec2i	-1.7252	rgb(123,160,233)
Irf4	Clec2i	-1.7864	rgb(120,158,234)
Fosl2	Clec2i	-1.7815	rgb(120,158,234)
Irf4	Clic1	1.8302	rgb(222,130,130)
Stat3	Clic1	1.9106	rgb(222,126,127)
Irf4	Clic4	1.8329	rgb(222,129,130)
Hif1a	Clk3	1.6533	rgb(222,138,139)
Hif1a	Clybl	1.5268	rgb(221,144,145)
Batf	Cmah	-1.8619	rgb(116,155,235)
Maf	Cmah	-1.7072	rgb(124,161,233)
Irf4	Cmas	1.8079	rgb(222,131,131)
Maf	Cmas	-1.5924	rgb(131,164,232)
Fosl2	Cmas	1.7474	rgb(222,133,134)
Hif1a	Cmas	1.5455	rgb(221,143,144)
Batf	Cmtm6	-1.8084	rgb(119,157,234)
Hif1a	Cmtm6	1.6806	rgb(222,137,138)
Batf	Cmtm7	-1.8555	rgb(116,156,235)
Irf4	Cmtm7	-1.8119	rgb(119,157,234)
Maf	Cmtm7	1.7423	rgb(222,134,135)
Stat3	Cmtm7	-1.5279	rgb(134,167,232)
Fosl2	Cmtm7	1.818	rgb(222,130,131)
Rorc	Cndp2	-1.7063	rgb(124,161,233)
Batf	Cnih4	-1.8674	rgb(116,155,235)
Irf4	Cnih4	-1.826	rgb(118,157,234)
Maf	Cnot7	-1.5911	rgb(131,164,232)
Fosl2	Cnst	1.8352	rgb(222,129,130)
Irf4	Cobll1	1.8395	rgb(222,129,130)
Rorc	Cobll1	1.8152	rgb(222,130,131)
Maf	Col5a3	-1.5245	rgb(134,167,231)
Fosl2	Col5a3	-1.6356	rgb(128,163,233)
Hif1a	Cope	1.7816	rgb(222,132,133)
Etv6	Cops7a	-1.8216	rgb(118,157,234)
Fosl2	Coq10b	-1.7392	rgb(123,160,234)
Fosl2	Coro1c	-1.7508	rgb(122,159,234)
Hif1a	Coro7	1.529	rgb(221,144,145)
Irf4	Cotl1	-1.6475	rgb(128,163,233)
Fosl2	Cox10	-1.5599	rgb(132,165,232)
Batf	Cox17	-1.6133	rgb(129,164,232)
Irf4	Cox7a1	1.5616	rgb(221,142,143)
Hif1a	Cox7a1	1.8007	rgb(222,131,132)
Hif1a	Cox7b	1.6882	rgb(222,136,137)
Batf	Cpd	1.8906	rgb(222,127,128)
Irf4	Cpd	1.9793	rgb(222,122,123)
Stat3	Cpd	1.8939	rgb(222,126,127)
Rorc	Cpd	1.9405	rgb(222,124,125)
Batf	Cpm	1.9803	rgb(222,122,123)
Maf	Cpm	-1.8419	rgb(117,156,235)
Stat3	Cpm	1.8939	rgb(222,126,127)
Nfe2l2	Cpm	-1.8861	rgb(115,155,235)
Hif1a	Cpm	1.7484	rgb(222,133,134)
Batf	Cpox	1.7323	rgb(222,134,135)
Irf4	Cpox	1.8418	rgb(222,129,130)
Etv6	Cpsf1	-1.6589	rgb(127,162,233)
Fosl2	Crabp2	-1.7004	rgb(125,161,233)
Maf	Crbn	-1.6006	rgb(130,164,232)
Maf	Creb1	-1.8148	rgb(118,157,234)
Irf4	Creb3l2	1.7155	rgb(222,135,136)
Fosl2	Creb3l2	1.9422	rgb(222,124,125)
Rorc	Creld1	1.5144	rgb(221,145,145)
Batf	Crem	1.8238	rgb(222,130,131)
Irf4	Crem	1.8853	rgb(222,127,128)
Maf	Crem	1.8662	rgb(222,128,129)
Stat3	Crem	1.7731	rgb(222,132,133)
Rorc	Crem	-1.859	rgb(116,156,235)
Fosl2	Crem	1.8902	rgb(222,127,128)
Hif1a	Crem	1.8318	rgb(222,129,130)
Batf	Crim1	1.8481	rgb(222,129,130)
Irf4	Crim1	1.7998	rgb(222,131,132)
Stat3	Crip1	1.5854	rgb(221,141,142)
Hif1a	Crip1	1.7638	rgb(222,133,134)
Batf	Crispld2	1.7118	rgb(222,135,136)
Stat3	Crispld2	1.7992	rgb(222,131,132)
Rorc	Crispld2	-1.887	rgb(115,155,235)
Fosl2	Crispld2	1.6827	rgb(222,137,137)
Fosl2	Crlf2	1.7793	rgb(222,132,133)
Hif1a	Crocc	1.6343	rgb(221,139,140)
Fosl2	Crtam	-1.6761	rgb(126,162,233)
Irf4	Crybg3	1.8301	rgb(222,130,130)
Rorc	Crybg3	1.8821	rgb(222,127,128)
Fosl2	Crybg3	-1.9625	rgb(110,152,236)
Irf4	Cs	1.557	rgb(221,143,143)
Batf	Cse1l	-1.7365	rgb(123,160,234)
Etv6	Csf2ra	-1.5672	rgb(132,165,232)
Maf	Csnk1g3	-1.8331	rgb(117,156,234)
Fosl2	Csrnp1	1.8534	rgb(222,128,129)
Hif1a	Csrnp1	1.7542	rgb(222,133,134)
Maf	Cst7	-1.6823	rgb(126,161,233)
Fosl2	Cst7	1.5764	rgb(221,142,142)
Hif1a	Cth	-1.5101	rgb(135,167,231)
Batf	Ctla2a	1.7429	rgb(222,134,135)
Irf4	Ctla2a	1.8527	rgb(222,128,129)
Fosl2	Ctla2a	1.5635	rgb(221,142,143)
Batf	Ctla2b	1.8514	rgb(222,129,129)
Irf4	Ctla2b	1.8108	rgb(222,130,131)
Maf	Ctla2b	1.6755	rgb(222,137,138)
Rorc	Ctla2b	-1.6518	rgb(127,162,233)
Fosl2	Ctla2b	1.8097	rgb(222,131,131)
Batf	Ctla4	1.9891	rgb(222,122,123)
Irf4	Ctla4	1.9914	rgb(222,122,123)
Maf	Ctla4	1.9835	rgb(222,122,123)
Stat3	Ctla4	1.9665	rgb(222,123,124)
Fosl2	Ctla4	1.8344	rgb(222,129,130)
Hif1a	Ctla4	1.9612	rgb(222,123,124)
Batf	Ctsb	-1.7219	rgb(123,160,233)
Irf4	Ctsb	1.6047	rgb(221,140,141)
Fosl2	Ctsb	-1.8342	rgb(117,156,234)
Stat3	Ctsw	-1.8585	rgb(116,156,235)
Hif1a	Ctsw	1.5661	rgb(221,142,143)
Batf	Cuedc1	1.9066	rgb(222,126,127)
Irf4	Cuedc1	1.9526	rgb(222,124,125)
Hif1a	Cuedc2	1.7054	rgb(222,135,136)
Hif1a	Cul4a	1.7133	rgb(222,135,136)
Hif1a	Cul7	1.7364	rgb(222,134,135)
Etv6	Cul7	-1.8843	rgb(115,155,235)
Batf	Cux1	-1.9269	rgb(112,153,235)
Irf4	Cux1	-1.9014	rgb(114,154,235)
Irf4	Cxcl10	1.8451	rgb(222,129,130)
Maf	Cxcl10	1.9382	rgb(222,124,125)
Fosl2	Cxcl10	1.7832	rgb(222,132,133)
Batf	Cxcr3	1.7029	rgb(222,136,136)
Maf	Cxcr3	-1.6654	rgb(127,162,233)
Stat3	Cxcr3	1.5736	rgb(221,142,143)
Fosl2	Cxcr3	-1.8751	rgb(115,155,235)
Irf4	Cxcr4	1.6925	rgb(222,136,137)
Maf	Cxcr4	1.6914	rgb(222,136,137)
Hif1a	Cxcr4	1.7574	rgb(222,133,134)
Irf4	Cxcr6	-1.539	rgb(133,166,232)
Etv6	Cxxc1	-1.5246	rgb(134,167,231)
Hif1a	Cyb5r3	1.8451	rgb(222,129,130)
Maf	Cycs	-1.6528	rgb(127,162,233)
Fosl2	Cycs	-1.7008	rgb(125,161,233)
Irf4	Cyfip2	1.8846	rgb(222,127,128)
Stat3	Cyfip2	1.8432	rgb(222,129,130)
Irf4	Cyp11a1	1.9011	rgb(222,126,127)
Stat3	Cyp11a1	1.7596	rgb(222,133,134)
Fosl2	Cyp11a1	1.9826	rgb(222,122,123)
Batf	Cyp2s1	1.5838	rgb(221,141,142)
Hif1a	Cyp2s1	1.5225	rgb(221,144,145)
Batf	Cyp51	-1.522	rgb(134,167,231)
Batf	Cysltr1	1.6069	rgb(221,140,141)
Irf4	Cysltr1	1.6698	rgb(222,137,138)
Maf	Cysltr1	1.6552	rgb(222,138,139)
Rorc	Cysltr1	1.7303	rgb(222,134,135)
Fosl2	Cysltr1	1.5324	rgb(221,144,145)
Hif1a	Cysltr1	1.5913	rgb(221,141,142)
Fosl2	Cysltr2	1.6608	rgb(222,138,138)
Batf	Cyth1	1.973	rgb(222,123,124)
Rorc	Cyth1	1.9312	rgb(222,125,126)
Irf4	Cyth3	-1.6879	rgb(125,161,233)
Maf	Cyth3	-1.7364	rgb(123,160,234)
Irf4	Cyth4	1.9003	rgb(222,126,127)
Stat3	Cyth4	1.9762	rgb(222,123,124)
Batf	Cytip	1.9089	rgb(222,126,127)
Irf4	Cytip	1.9293	rgb(222,125,126)
Stat3	Cytip	1.9099	rgb(222,126,127)
Rorc	Cytip	-1.9642	rgb(110,152,236)
Batf	D16Ertd472e	1.961	rgb(222,123,124)
Stat3	D16Ertd472e	1.8542	rgb(222,128,129)
Fosl2	D16Ertd472e	1.958	rgb(222,123,124)
Nfe2l2	D730005E14Rik	1.8488	rgb(222,129,130)
Irf4	D8Ertd82e	-1.526	rgb(134,167,232)
Maf	D930015E06Rik	-1.7514	rgb(122,159,234)
Fosl2	D930015E06Rik	-1.9333	rgb(112,153,235)
Hif1a	Dad1	1.8881	rgb(222,127,128)
Hif1a	Dag1	1.6592	rgb(222,138,139)
Hif1a	Dalrd3	1.814	rgb(222,130,131)
Batf	Dap	1.8376	rgb(222,129,130)
Fosl2	Dap	1.9425	rgb(222,124,125)
Hif1a	Dap	1.7697	rgb(222,132,133)
Hif1a	Dap3	1.7901	rgb(222,131,132)
Maf	Dars2	-1.8622	rgb(116,155,235)
Hif1a	Dazap1	1.6858	rgb(222,136,137)
Hif1a	Dbnl	1.7634	rgb(222,133,134)
Rorc	Dclk1	-1.5708	rgb(132,165,232)
Fosl2	Dclre1b	-1.734	rgb(123,160,233)
Stat3	Dctn4	1.5227	rgb(221,144,145)
Batf	Ddit3	1.7334	rgb(222,134,135)
Irf4	Ddit3	1.6934	rgb(222,136,137)
Stat3	Ddit3	1.8784	rgb(222,127,128)
Fosl2	Ddit3	1.7367	rgb(222,134,135)
Hif1a	Ddit3	-1.5352	rgb(134,166,232)
Irf4	Ddit4	1.8483	rgb(222,129,130)
Stat3	Ddit4	1.7275	rgb(222,134,135)
Hif1a	Ddit4	1.9441	rgb(222,124,125)
Batf	Ddr1	-1.8271	rgb(118,157,234)
Irf4	Ddr1	1.9048	rgb(222,126,127)
Maf	Ddr1	1.8653	rgb(222,128,129)
Stat3	Ddr1	1.8826	rgb(222,127,128)
Fosl2	Ddr1	1.9538	rgb(222,124,125)
Stat3	Ddt	1.6678	rgb(222,137,138)
Irf4	Ddx11	1.7329	rgb(222,134,135)
Maf	Ddx11	-1.5757	rgb(131,165,232)
Fosl2	Ddx11	-1.5753	rgb(131,165,232)
Hif1a	Def6	1.8558	rgb(222,128,129)
Irf4	Dennd1b	-1.8482	rgb(117,156,235)
Batf	Dennd3	1.7787	rgb(222,132,133)
Hif1a	Dennd4b	1.6685	rgb(222,137,138)
Batf	Dennd5a	1.8012	rgb(222,131,132)
Irf4	Dennd5a	1.9323	rgb(222,125,126)
Stat3	Dennd5a	1.6827	rgb(222,137,137)
Batf	Dgat1	1.7118	rgb(222,135,136)
Irf4	Dgat1	1.6718	rgb(222,137,138)
Stat3	Dgat1	1.8671	rgb(222,128,129)
Hif1a	Dgat1	1.9362	rgb(222,124,125)
Batf	Dgcr8	-1.5056	rgb(135,167,231)
Batf	Dgka	-1.8173	rgb(118,157,234)
Rorc	Dgka	-1.6767	rgb(126,162,233)
Fosl2	Dgka	1.8427	rgb(222,129,130)
Hif1a	Dgka	1.5956	rgb(221,141,142)
Batf	Dgkh	-1.6194	rgb(129,164,232)
Irf4	Dhrs1	1.5972	rgb(221,141,141)
Irf4	Dhrs13	1.8385	rgb(222,129,130)
Fosl2	Dhrs3	-1.8014	rgb(119,157,234)
Etv6	Dhx38	-1.7815	rgb(120,158,234)
Stat3	Dhx58	-1.5785	rgb(131,165,232)
Batf	Dixdc1	1.7329	rgb(222,134,135)
Batf	Dlg2	1.9121	rgb(222,126,127)
Hif1a	Dlg4	1.6264	rgb(221,139,140)
Batf	Dnaja4	1.5341	rgb(221,144,144)
Hif1a	Dnajb1	1.7781	rgb(222,132,133)
Stat3	Dnajb14	1.8046	rgb(222,131,132)
Irf4	Dnajb5	1.7833	rgb(222,132,133)
Stat3	Dnajb5	1.7831	rgb(222,132,133)
Batf	Dnajc10	-1.5451	rgb(133,166,232)
Hif1a	Dnajc16	1.5725	rgb(221,142,143)
Hif1a	Dnajc5	1.7967	rgb(222,131,132)
Batf	Dnmt3a	-1.8739	rgb(115,155,235)
Irf4	Dnmt3a	-1.9191	rgb(113,154,235)
Maf	Dnmt3a	-1.7911	rgb(120,158,234)
Stat3	Dnmt3a	-1.5755	rgb(131,165,232)
Irf4	Dock10	-1.9194	rgb(113,154,235)
Maf	Dock10	-1.9779	rgb(110,152,236)
Stat3	Dock10	-1.5866	rgb(131,165,232)
Maf	Dock8	-1.7401	rgb(123,160,234)
Fosl2	Dohh	-1.6767	rgb(126,162,233)
Stat3	Dok2	1.5361	rgb(221,144,144)
Fosl2	Dok2	1.8666	rgb(222,128,129)
Hif1a	Dok2	1.6862	rgb(222,136,137)
Rorc	Dot1l	1.9182	rgb(222,125,126)
Fosl2	Dot1l	-1.943	rgb(111,153,235)
Hif1a	Dpf1	1.5697	rgb(221,142,143)
Batf	Dpp4	-1.9123	rgb(113,154,235)
Maf	Dpp4	-1.8445	rgb(117,156,235)
Rorc	Dpp4	-1.5435	rgb(133,166,232)
Fosl2	Dpp4	1.9158	rgb(222,125,126)
Irf4	Dpy19l3	1.891	rgb(222,127,128)
Stat3	Dpy19l3	1.9653	rgb(222,123,124)
Rorc	Dpy19l3	1.9703	rgb(222,123,124)
Irf4	Dpysl2	-1.6962	rgb(125,161,233)
Stat3	Dpysl2	1.705	rgb(222,136,136)
Batf	Dst	1.7661	rgb(222,133,133)
Fosl2	Dst	1.6526	rgb(222,138,139)
Hif1a	Dtx3l	1.7583	rgb(222,133,134)
Etv6	Dus3l	-1.6298	rgb(128,163,232)
Batf	Dusp14	-1.8947	rgb(114,154,235)
Maf	Dusp14	-1.8005	rgb(119,158,234)
Fosl2	Dusp14	-1.9043	rgb(114,154,235)
Batf	Dusp16	-1.8099	rgb(119,157,234)
Irf4	Dusp16	1.5379	rgb(221,143,144)
Stat3	Dusp16	1.7193	rgb(222,135,136)
Batf	Dusp2	-1.9482	rgb(111,153,236)
Irf4	Dusp2	-1.9189	rgb(113,154,235)
Maf	Dusp2	-1.9465	rgb(111,153,236)
Fosl2	Dusp2	-1.9384	rgb(112,153,235)
Irf4	Dusp22	-1.9418	rgb(112,153,235)
Fosl2	Dusp22	1.7763	rgb(222,132,133)
Fosl2	Dusp4	-1.6447	rgb(128,163,233)
Stat3	Dusp5	-1.8176	rgb(118,157,234)
Hif1a	Dusp5	1.6547	rgb(222,138,139)
Batf	Dusp6	-1.8336	rgb(117,156,234)
Irf4	Dusp6	-1.881	rgb(115,155,235)
Stat3	Dusp6	1.6463	rgb(222,138,139)
Rorc	Dusp6	-1.8672	rgb(116,155,235)
Etv6	Dusp6	-1.8535	rgb(116,156,235)
Etv6	Dvl2	-1.7196	rgb(124,160,233)
Hif1a	Dynll1	1.6656	rgb(222,137,138)
Batf	Dyrk3	-1.8965	rgb(114,154,235)
Hif1a	E130012A19Rik	1.7276	rgb(222,134,135)
