	ARID5B	ATF4	BATF3	CUX1	DBP	ETS2	HIF1A	IRF1	IRF3	IRF5	IRF7	IRF8	IRF9	JUNB	MXD4	NFE2L2	NFKB2	NR3C1	PLSCR1	PPARG	RELA	STAT1	STAT2	STAT3	STAT4	TCF4	ZNF274	ZNF394
AP-1_transcription_factor_network		CXCR4 DDIT3 HCK IRF1 PLAUR RCAN1 SLC3A2 TNFRSF4 TXN	ADM ATF4 CALM1 CCL2 CDKN1A DUSP5 GBP3 HCK ICAM1 IL2RA IRF1 LDHA NFKB1 NR3C1 PTPN1 RCAN1 SKIL SLC3A2 SOCS3 STAT4 TIMP1 TXN			BATF3 BHLHE41 BNIP3 CALM1 CCL2 CTNNB1 DUSP1 GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IRF7 MAP3K8 MCL1 MT2A NCOA4 NFKB1 NR3C1 PLAUR RCAN1 SKIL SLC3A2 SOCS3 STAT4 TIMP1	ADM BATF3 BHLHE41 BNIP3 CCND2 EGR2 FKBP1A GBP3 GSN HCK HSPA8 ID2 IL2RA LSP1 MMP9 MT2A PCK2 PLAUR PTPN1 RAN SOCS3 STAT4 TNFRSF4	BATF3 BHLHE41 CCL2 GBP3 HCK HLA-A ICAM1 IRF7 JUNB MCL1 MT2A NCOA4 PLAUR PTPN1 SOCS3 STAT1 STAT4 TNFRSF9 TXN			ADM CCL2 CITED2 DUSP5 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MT2A NCOA4 PLIN2 PPARG PTPN1 RAN RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TNIK TXN		ADM CITED2 FABP4 FKBP5 GBP3 IRF7 JUNB MCL1 MT2A PLIN2 PPARG PTPN1 SOCS3 STAT1 STAT4 TXN	ATF3 ATF4 CCND1 CDKN1A DUSP5 EGR2 FKBP5 HSPB1 PIM1 PLAUR SOCS3 STAT1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN		ATF4 BATF3 HCK HIF1A HLA-A IL2RA IRF1 MAP3K8 MDM2 MT2A NCOA4 NFKB1 NR3C1 NUP214 PCK2 PLAUR PTPN1 RCAN1 SKIL SOCS3 STAT4 TNFRSF4 TXN	BATF3 CCL2 CCND2 DAB2 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 MT2A NFKB1 PCK2 PLAUR PLIN2 PTPN1 RAN SOCS3 STAT1 STAT4 TNFRSF4 TXN	BHLHE41 BNIP3 CALM1 CCL2 FKBP5 FOS GBP3 HIF1A ID2 IRF7 JUN MT2A NCOA4 PLAUR SKIL TIMP1		CCND2 DAB2 EGR2 FABP4 FKBP1A FOS GBP3 GSN H2AFY HCK HLA-A HSP90B1 HSPA8 ID2 IRF1 IRF7 MMP9 MT2A PLIN2 RAN RCAN1 SOCS3 STAT1 STAT4 TNFRSF4 TXN	BATF3 DAB2 FKBP5 GSN H2AFY HLA-A HSP90B1 ICAM1 IRF1 IRF7 JUNB PLIN2 PPARG SOCS3 STAT1 STAT4 TNFRSF18 TNFRSF4 TNFRSF9 TXN		ADM CCL2 DAB2 DUSP5 FABP4 GBP3 GSN HLA-A ICAM1 IRF1 IRF7 LSP1 MCL1 MT2A NCOA4 PPARG STAT1 STAT4 TNIK TXN	BATF3 DAB2 FKBP1A GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NCOA4 PPARG RCAN1 SKIL SOCS3 STAT1 STAT4 TNFRSF9 TXN	ATF3 BATF3 CCND1 FKBP1A GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN MAP3K8 MCL1 MMP9 MT2A PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 TNFRSF4 TXN			
Classical_antibody-mediated_complement_activation						C1QA C1QB C1QC			C1QA C1QB C1QC							C1QA C1QB C1QC		C1QA C1QB C1QC										
Cytokine_Signaling_in_Immune_system	IFNGR2 IL1B	CASP1 IFI35 IFIT2 IFIT3 IFITM2 IFITM3 ISG15 PTAFR XAF1	CSF2RA IFI27 IFI35 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG20 LYN NFKB1 PTPN1 SOCS3 USP18	CASP1 IFI27 IFIT2 IFITM1 IFITM2 IFITM3	IFI27 IFI35 IL1B IL3RA NFKB1	CSF2RA IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA MAP3K8 MT2A NFKB1 SOCS3	GBP2 IFITM1 IFNGR2 IL1B IL2RA IL3RA LYN MT2A PTPN1 SOCS3 STAT2	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG15 ISG20 MT2A PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1		CASP1 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 STAT2 USP18 XAF1	CASP1 GBP2 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA ISG15 ISG20 MT2A PRKACB PTAFR PTPN1 SOCS3 SQSTM1 STAT2 USP18 XAF1	GBP2 IFI6 IFIT1 IFIT3 ISG15 ISG20 USP18 XAF1	CASP1 IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN ISG15 ISG20 MT2A PRKACB PTPN1 SOCS3 STAT2 USP18 XAF1	CASP1 IFI27 IFI35 IFI6 IFIT3 IFITM3 ISG15 ISG20 SOCS3 SQSTM1 USP18		CSF2RA GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 PTAFR PTPN1 SOCS3 SQSTM1	IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG20 LYN MT2A NFKB1 PTAFR PTPN1 SOCS3 SQSTM1 XAF1	IFI27 IFNGR2 IL1B MT2A	CASP1 CSF2RA GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 IL3RA ISG15	APBB1IP GBP2 IFI27 IFI35 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 MT2A PRKACB PTAFR SOCS3 USP18	IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 XAF1	APBB1IP CASP1 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 ISG15 ISG20 PTAFR SOCS3 SQSTM1 STAT2 USP18 XAF1	APBB1IP CASP1 IFI35 IFI6 IFIT1 IFIT2 IFIT3 ISG15 ISG20 MT2A PRKACB SQSTM1 STAT2 USP18 XAF1	APBB1IP GBP2 IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA ISG20 MAP3K8 MT2A PTAFR SOCS3 SQSTM1 STAT2	IFIT1 IFIT2 IFIT3 IFITM1 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG15 ISG20 LYN MAP3K8 MT2A PRKACB PTPN1	GBP2 IFI27 IFI35 IFITM1 IFITM3 SQSTM1	IFI35 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 SOCS3	IFI27 IFI35 IFIT2 IFIT3 IFITM1 IFITM2 IFNGR2 IL3RA ISG15 PTAFR SOCS3
IFN-gamma_pathway			ADM ATF4 BCL2A1 CALM1 CCL2 CD82 CDKN1A CSF1 DUSP5 GBP3 HCK ICAM1 IL1B IL2RA IRF1 LDHA LYN NBN NFKB1 NFKBIA NR3C1 PLK3 POU2F2 PTPN1 PVRL2 RCAN1 RIPK2 SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 TXN UBE2D1			BATF3 BHLHE41 BNIP3 CALM1 CCL2 CCL5 CSF1R CTNNB1 DDIT4 DOK2 DUSP1 DUSP6 FCGR2B GBP3 HCK HIF1A HLA-A ICAM1 IFNGR1 IL1B IL2RA IRF7 MAP3K8 MCL1 MMP14 MT2A NCOA4 NFKB1 NFKBIA NR3C1 PLAUR RCAN1 RNF144B SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 UBE2D1	ADM BATF3 BHLHE41 BNIP3 CCL5 CCND2 DDIT4 EGR2 FKBP1A FTH1 GBP3 GSN HCK HSPA8 ID2 IL1B IL2RA LSP1 LYN MMP9 MT2A NBN PCK2 PLAUR PTPN1 PTPRC PYCARD RAN RNF144B SLC11A1 SOCS3 SOD2 STAT4 TNFRSF4	BATF3 BHLHE41 BID BTG2 CASP1 CCL2 CCL5 CD82 CFLAR DDIT4 EIF2AK2 FTH1 GBP3 HCK HLA-A ICAM1 IRF7 JUNB MCL1 MMP14 MMP7 MT2A NBN NCOA4 PARP14 PLAUR PTPN1 PVRL2 RIPK2 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1			ADM CASP1 CCL2 CCL5 CD82 CFLAR CITED2 DAPP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MMP14 MT2A NBN NCOA4 PARP14 PLIN2 PPARG PTPN1 RAN RCAN1 RIPK2 SKIL SLA SOCS3 STAT1 STAT4 TAP1 TNFRSF9 TNIK TXN			ATF3 ATF4 BID BTG2 CASP1 CCND1 CD82 CDKN1A CFLAR CSF1 DUSP5 EGR2 EIF2AK2 FKBP5 HSPB1 MMP7 PIM1 PLAUR PLK3 PMAIP1 SOCS3 STAT1 TAP1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN		ATF4 BATF3 BID CCL5 CSF1R DAPP1 DDIT4 FTH1 HCK HIF1A HLA-A IFNGR1 IL2RA IRF1 LYN MAP3K8 MDM2 MMP14 MT2A NCOA4 NFKB1 NFKB2 NFKBIA NR3C1 NUP214 PARP14 PCK2 PLAUR PTPN1 PTPRC PVRL2 RCAN1 RNF144B RRAS SKIL SLA SOCS3 SOD2 STAT4 TNFRSF4 TXN UBE2D1	BATF3 BID CCL2 CCL5 CCND2 DAB2 EIF2AK2 FTH1 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 LYN MMP14 MT2A NBN NFKB1 NFKB2 NFKBIA PARP14 PCK2 PLAUR PLIN2 POU2F2 PTPN1 RAN RRAS SLA SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN	BHLHE41 BNIP3 BTG2 CALM1 CCL2 DUSP6 FCGR2B FKBP5 FOS GBP3 HIF1A ID2 IL1B IRF7 JUN MMP14 MT2A NCOA4 NFKBIA PLAUR POU2F2 SKIL SLA SOD2 TIMP1		CCL5 CCND2 CYCS DAB2 EGR2 FABP4 FKBP1A FOS FTH1 GBP3 GDF15 GSN H2AFY HCK HLA-A HMGA1 HSP90B1 HSPA8 HSPD1 ID2 IRF1 IRF7 LIMA1 MMP7 MMP9 MT2A NBN NCL NFKB2 NFKBIA PARP14 PLIN2 PYCARD RAN RCAN1 RIPK2 RNF144B RRAS SDC2 SH3BP5 SLC11A1 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN UBE2D1		BID BTG2 CASP1 CCL5 CCND2 CD82 CDKN1A CFLAR CITED2 CLU CTSD DAB2 DAPP1 DUSP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP5 FOS GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF1 IRF7 JUNB MMP14 MMP7 NBN NCOA4 NFKB2 NFKBIA PARP14 PLIN2 PLK3 POU2F2 PPARG PVRL2 PYCARD RIPK2 RRAS SDC2 SLC11A1 SOCS3 SOD2 STMN1 TAP1 TNFRSF18 TNFRSF4 TNFRSF9 TXN UBE2D1		BATF3 BID DAB2 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL1B IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NBN NCOA4 NFKB2 PARP14 PPARG PVRL2 PYCARD RCAN1 RNF144B RRAS SDC2 SH3BP5 SKIL SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1	ATF3 BATF3 BCL2A1 CCL5 CCND1 DDIT4 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL1B IL2RA IRF1 IRF7 JUN LYN MAP3K8 MCL1 MDM4 MMP9 MT2A NBN NFKB2 NFKBIA PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 RNF144B SH3BP5 SOD2 TAP1 TNFRSF4 TXN UBE2D1		BID CCL5 CD82 CFLAR GBP3 ICAM1 IRF1 MMP7 NBN PLAUR SLA SOCS3 SOD2 TNFRSF4 TXN	
IL12-mediated_signaling_events	IL18 IL1B IL27 STAT4		CCL3 CCL4 EBI3 GADD45G IL18 IL1B IL2RA IRF1 NFKB1 NFKBIA RIPK2 STAT4		IL18 IL1B NFKB1 NFKBIA	CCL3 CCL4 GADD45G HLA-A HLA-DRA HLA-DRB1 IL18 IL1B IL2RA NFKB1 NFKBIA STAT4	IL1B IL2RA RAN STAT2 STAT4	EBI3 GADD45B HLA-A IL27 RIPK2 STAT1 STAT2 STAT4	CCL3 HLA-DRA HLA-DRB1 NFKBIA RAN	GADD45B HLA-DRB1 STAT1 STAT2	CCL3 HLA-A IL27 IL2RA IRF1 RAN RIPK2 STAT1 STAT2 STAT4		CCL3 IL27 RIPK2 STAT1 STAT2 STAT4			CCL3 HLA-A HLA-DRA HLA-DRB1 IL18 IL27 IL2RA IRF1 NFKB1 NFKB2 NFKBIA STAT4	CCL3 CCL4 EBI3 GADD45G HLA-A HLA-DRA IL27 IRF1 NFKB1 NFKB2 NFKBIA RAN STAT1 STAT4	CCL3 CCL4 FOS HLA-DRA IL1B JUN NFKBIA		FOS GADD45B HLA-A IL18 IRF1 NFKB2 NFKBIA RAN RIPK2 STAT1 STAT4	EBI3 GADD45G HLA-A IL18 IL27 IRF1 NFKBIA STAT1 STAT4	CCL4 EBI3 FOS GADD45B HLA-A IL27 IRF1 NFKB2 NFKBIA RIPK2 STAT2	CCL3 EBI3 HLA-A IL27 IRF1 NFKBIA RIPK2 STAT1 STAT2 STAT4	EBI3 GADD45G HLA-A IL1B IL27 IL2RA IRF1 NFKB2 STAT1 STAT2 STAT4	GADD45G IL18 IL1B IL2RA IRF1 JUN NFKB2 NFKBIA RAN			CCL4 GADD45B HLA-A IL18 IL27 NFKB2
IL27-mediated_signaling_events	IL18 IL1B IL27 STAT4		EBI3 IL18 IL1B STAT4		IL18 IL1B	IL18 IL1B STAT4	IL1B STAT2 STAT4	EBI3 IL27 STAT1 STAT2 STAT4		STAT1 STAT2	IL27 STAT1 STAT2 STAT4		IL27 STAT1 STAT2 STAT4			IL18 IL27 STAT4	EBI3 IL27 STAT1 STAT4			IL18 STAT1 STAT4	EBI3 IL18 IL27 STAT1 STAT4	EBI3 IL27 STAT2	EBI3 IL27 STAT1 STAT2 STAT4	EBI3 IL1B IL27 STAT1 STAT2 STAT4		IL18 STAT4		IL18 IL27
IL3-mediated_signaling_events			ADM ATF4 BCL2A1 CALM1 CCL2 CD82 CDKN1A CSF1 DUSP5 GBP3 HCK ICAM1 IL2RA IRF1 LDHA LYN NBN NFKB1 NFKBIA NR3C1 PLK3 POU2F2 PTPN1 PVRL2 RCAN1 RIPK2 SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 TXN UBE2D1			BATF3 BHLHE41 BNIP3 CALM1 CCL2 CCL5 CSF1R CTNNB1 DDIT4 DOK2 DUSP1 DUSP6 FCGR2B GBP3 HCK HIF1A HLA-A ICAM1 IL2RA IL3RA IRF7 MAP3K8 MCL1 MMP14 MT2A NCOA4 NFKB1 NFKBIA NR3C1 PLAUR RCAN1 RNF144B SKIL SLA SLC3A2 SOCS3 SOD2 STAT4 TIMP1 UBE2D1	ADM BATF3 BHLHE41 BNIP3 CCL5 CCND2 DDIT4 EGR2 FKBP1A FTH1 GBP3 GSN HCK HSPA8 ID2 IL2RA IL3RA LSP1 LYN MMP9 MT2A NBN PCK2 PLAUR PTPN1 PTPRC PYCARD RAN RNF144B SLC11A1 SOCS3 SOD2 STAT4 TNFRSF4	BATF3 BHLHE41 BID BTG2 CASP1 CCL2 CCL5 CD82 CFLAR DDIT4 EIF2AK2 FTH1 GBP3 HCK HLA-A ICAM1 IRF7 JUNB MCL1 MMP14 MMP7 MT2A NBN NCOA4 PARP14 PLAUR PTPN1 PVRL2 RIPK2 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1			ADM CASP1 CCL2 CCL5 CD82 CFLAR CITED2 DAPP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP1A FKBP5 GBP3 GSN HLA-A ICAM1 IL2RA IRF1 IRF7 JUNB MCL1 MMP14 MT2A NBN NCOA4 PARP14 PLIN2 PPARG PTPN1 RAN RCAN1 RIPK2 SKIL SLA SOCS3 STAT1 STAT4 TAP1 TNFRSF9 TNIK TXN			ATF3 ATF4 BID BTG2 CASP1 CCND1 CD82 CDKN1A CFLAR CSF1 DUSP5 EGR2 EIF2AK2 FKBP5 HSPB1 MMP7 PIM1 PLAUR PLK3 PMAIP1 SOCS3 STAT1 TAP1 TFRC TNFRSF18 TNFRSF4 TNFRSF9 TXN			BATF3 BID CCL2 CCL5 CCND2 DAB2 EIF2AK2 FTH1 GBP3 H2AFY HCK HLA-A ICAM1 ID2 IRF1 LSP1 LYN MMP14 MT2A NBN NFKB1 NFKB2 NFKBIA PARP14 PCK2 PLAUR PLIN2 POU2F2 PTPN1 RAN RRAS SLA SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN	BHLHE41 BNIP3 BTG2 CALM1 CCL2 DUSP6 FCGR2B FKBP5 FOS GBP3 HIF1A ID2 IRF7 JUN MMP14 MT2A NCOA4 NFKBIA PLAUR POU2F2 SKIL SLA SOD2 TIMP1		CCL5 CCND2 CYCS DAB2 EGR2 FABP4 FKBP1A FOS FTH1 GBP3 GDF15 GSN H2AFY HCK HLA-A HMGA1 HSP90B1 HSPA8 HSPD1 ID2 IRF1 IRF7 LIMA1 MMP7 MMP9 MT2A NBN NCL NFKB2 NFKBIA PARP14 PLIN2 PYCARD RAN RCAN1 RIPK2 RNF144B RRAS SDC2 SH3BP5 SLC11A1 SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF4 TXN UBE2D1		BID BTG2 CASP1 CCL5 CCND2 CD82 CDKN1A CFLAR CITED2 CLU CTSD DAB2 DAPP1 DUSP1 DUSP5 EIF2AK2 EPS8 FABP4 FKBP5 FOS GBP3 GDF15 GSN HCK HLA-A ICAM1 IRF1 IRF7 JUNB MMP14 MMP7 NBN NCOA4 NFKB2 NFKBIA PARP14 PLIN2 PLK3 POU2F2 PPARG PVRL2 PYCARD RIPK2 RRAS SDC2 SLC11A1 SOCS3 SOD2 STMN1 TAP1 TNFRSF18 TNFRSF4 TNFRSF9 TXN UBE2D1		BATF3 BID DAB2 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HLA-A HSP90B1 HSPA8 ICAM1 ID2 IL2RA IRF1 IRF7 LSP1 MAP3K8 MCL1 MMP9 MT2A NBN NCOA4 NFKB2 PARP14 PPARG PVRL2 PYCARD RCAN1 RNF144B RRAS SDC2 SH3BP5 SKIL SOCS3 SOD2 STAT1 STAT4 TAP1 TNFRSF9 TXN UBE2D1	ATF3 BATF3 BCL2A1 CCL5 CCND1 DDIT4 EPS8 FKBP1A FTH1 GBP3 GSN H2AFY HCK HIF1A HSP90AA1 ICAM1 IL2RA IRF1 IRF7 JUN LYN MAP3K8 MCL1 MDM4 MMP9 MT2A NBN NFKB2 NFKBIA PCK2 PLIN2 PPARG PTPN1 RAN RCAN1 RNF144B SH3BP5 SOD2 TAP1 TNFRSF4 TXN UBE2D1		BID CCL5 CD82 CFLAR GBP3 ICAM1 IRF1 MMP7 NBN PLAUR SLA SOCS3 SOD2 TNFRSF4 TXN	
Immune_System	AIM2 C1QC IFNGR2 IL1B PTPRC	CASP1 HLA-E IFI35 IFIT2 IFIT3 IFITM2 IFITM3 ISG15 PSMA4 PSME1 PTAFR TXN XAF1	C1QB CD86 CSF2RA HLA-E HSP90AB1 IFI27 IFI35 IFIH1 IFITM3 IFNGR2 IL1B IL1RN IL2RA ISG20 LYN NFKB1 NFKBIA PSME1 PTPN1 RIPK2 SOCS3 TLR2 TXN UBE2D1 USP18	CASP1 IFI27 IFIT2 IFITM1 IFITM2 IFITM3	CYBB FYB IFI27 IFI35 IL1B IL3RA NFKB1 NFKBIA	AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CYBB HLA-A IFITM3 IFNGR1 IFNGR2 IL1B IL2RA IL3RA IRF7 MAP3K8 MT2A NFKB1 NFKBIA SOCS3 TLR2 UBE2D1	C1QC CD14 DHX58 GBP2 IFITM1 IFNGR2 IL1B IL2RA IL3RA LYN MT2A PTPN1 PTPRC PYCARD SOCS3 STAT2 TLR2	AIM2 CASP1 CD80 DDX58 DHX58 GBP2 HERC5 HLA-A IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFNGR2 IRF7 ISG15 ISG20 MT2A PSMA4 PSMB9 PSME1 PSME2 PTAFR PTPN1 RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN UBE2D1 USP18 XAF1	C1QA C1QB C1QC CD14 IFI30 IFNGR1 NFKBIA	CASP1 DDX58 DHX58 HLA-E IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IRF7 ISG15 ISG20 PSMA4 PSMB9 PSME1 PSME2 STAT2 TAP1 USP18 XAF1	AIM2 C2 CASP1 CD86 DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFITM3 IFNGR2 IL2RA IRF7 ISG15 ISG20 MT2A PRKACB PSMA4 PSMB9 PSME1 PSME2 PTAFR PTPN1 RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN USP18 XAF1	C1QC DDX58 GBP2 HLA-E IFI6 IFIH1 IFIT1 IFIT3 IRF7 ISG15 ISG20 PSMB9 PSME1 TAP1 USP18 XAF1	CASP1 CD86 DDX58 DHX58 HCST HERC5 HLA-E IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFNGR2 IL1RN IRF7 ISG15 ISG20 MT2A PRKACB PSMB9 PSME1 PSME2 PTPN1 PYCARD RIPK2 SOCS3 STAT2 TAP1 TXN USP18 XAF1	CASP1 DDX58 IFI27 IFI35 IFI6 IFIT3 IFITM3 ISG15 ISG20 PSMA4 PSMB9 PSME2 SOCS3 SQSTM1 TAP1 TXN USP18		AIM2 C1QA C1QB C1QC C2 CD14 CD80 CD86 CSF2RA CTSS CYBB DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR1 IFNGR2 IL2RA IL3RA ISG15 ISG20 LYN MAP3K8 MT2A NFKB1 NFKBIA PTAFR PTPN1 PTPRC SOCS3 SQSTM1 TLR2 TXN TXNIP UBE2D1	CALR CD80 FYB HCST HERC5 HLA-A HLA-E IFI6 IFIT1 IFIT2 IFIT3 IFNGR2 ISG20 LYN MT2A NFKB1 NFKBIA PSMA4 PSMB9 PSME1 PSME2 PTAFR PTPN1 SOCS3 SQSTM1 TAP1 TXN XAF1	C1QA C1QB C1QC CD14 CD86 CYBB DDX58 FOS HSP90AB1 IFI27 IFNGR2 IL1B IRF7 JUN MT2A NFKBIA TLR2 TXNIP	CASP1 CSF2RA GBP2 IFI27 IFI35 IFI6 IFITM1 IFITM2 IFITM3 IL3RA ISG15 PSMA4	AIM2 APBB1IP C3 CD80 DDX58 DHX58 FOS GBP2 HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IRF7 ISG15 ISG20 MT2A NFKBIA PRKACB PSMA7 PSMB9 PSME1 PTAFR PYCARD RIPK2 SOCS3 TAP1 TXN UBE2D1 USP18	C2 CALR CD80 DDX58 HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT3 IFNGR2 IRF7 ISG15 ISG20 NFKBIA PSMA4 PSMA7 PSMB9 PSME1 PSME2 PTAFR SOCS3 SQSTM1 TXN XAF1	AIM2 APBB1IP C3 CASP1 CD80 CFD DDX58 DHX58 FOS HCST HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IRF7 ISG15 ISG20 NFKBIA PSMA4 PSMB9 PSME2 PTAFR PYCARD RIPK2 SOCS3 SQSTM1 STAT2 TAP1 TXN UBE2D1 USP18 XAF1	AIM2 APBB1IP CASP1 CD80 DDX58 DHX58 HERC5 HLA-A IFI35 IFI6 IFIH1 IFIT1 IFIT2 IFIT3 IRF7 ISG15 ISG20 LY86 MT2A NFKBIA PRKACB PSMA4 PSMB9 PSME1 PSME2 PYCARD RIPK2 SQSTM1 STAT2 TAP1 TXN USP18 XAF1	AIM2 APBB1IP C3 CALR CD80 CD86 DDX58 DHX58 GBP2 HERC5 HLA-A HLA-E IFI27 IFI35 IFI6 IFIT1 IFIT2 IFIT3 IFITM1 IFITM2 IFITM3 IFNGR2 IL1B IL2RA IRF7 ISG20 MAP3K8 MT2A PSMA4 PTAFR PYCARD SOCS3 SQSTM1 STAT2 TAP1 TLR2 TXN UBE2D1	AIM2 C1QB C3 CALR DDX58 DHX58 HCST HERC5 HLA-E HSP90AB1 IFIH1 IFIT1 IFIT2 IFIT3 IFITM1 IFITM3 IFNGR2 IL1B IL1RN IL2RA IRF7 ISG15 ISG20 JUN LAT LYN MAP3K8 MT2A NFKBIA PRKACB PTPN1 TAP1 TLR2 TXN UBE2D1	AIM2 C1QB C2 DDX58 DHX58 GBP2 HLA-E IFI27 IFI35 IFITM1 IFITM3 NFKBIA PSMA4 PSMB9 PSME1 SQSTM1	AIM2 IFI35 IFITM1 IFITM2 IFITM3 IFNGR2 ISG20 SOCS3 TXN	AIM2 CALR CD80 CD86 HCST HERC5 HLA-A IFI27 IFI35 IFIT2 IFIT3 IFITM1 IFITM2 IFNGR2 IL3RA ISG15 PTAFR SOCS3
