TF	Target	Weight
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	ARHGAP42P5	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	AZIN1	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	C19orf82	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	C4BPAP2	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	C9orf47	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CD36	61
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CREG1	5
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CSTF3	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CTC-303L1.2	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CTD-2033A16.1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CTD-2301A4.3	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	CTD-2301A4.5	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	EID1	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	FAM188B	8
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	FBXO48	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	FREM1	30
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	GNAT3	18
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	HIF1AN	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	IDO1	8
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	IDO2	14
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	INMT-FAM188B	8
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	KB-1254G8.1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	KB-1507C5.2	18
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	KIAA0825	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	LDHA	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	LDHC	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	MAPK1	9
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	MIR3159	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	MITF	31
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	MXD3	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	NDUFB8	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	NFAT5	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	NFE2L2	13
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	NQO1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	NSD1	22
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PABPC1P13	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PARK2	201
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PAWR	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PFDN4	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PIGCP1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	POTED	6
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PPP1R12A	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PRELID1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	PRKRA	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RAB24	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RN7SL418P	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RN7SL487P	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RN7SL604P	4
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RNA5SP493	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RNU6-1260P	7
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RNU6-286P	6
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-138E16.1	7
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-235E17.5	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-23F23.2	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-30L15.4	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-311C24.1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-326A13.1	1
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-337N6.1	5
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-337N6.2	5
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-343N15.2	2
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-44K6.2	3
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-44K6.3	19
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-44K6.4	5
ALX1_ALX3_ALX4_ARX_DRGX_EN1_EN2_ESX1_GBX1_GBX2_HESX1_ISX_MIXL1_MSX1_MSX2_NOBOX_OTP_PHOX2A_PHOX2B_PROP1_PRRX1_PRRX2_RAX_RAX2_SEBOX_SHOX_SHOX2_UNCX_VSX1_VSX2	RP11-44K6.5	2
