TF	Target	Weight
ALX1	AAK1	26
ALX1	AC004691.5	2
ALX1	AC004862.6	7
ALX1	AC006196.1	6
ALX1	AC009948.5	4
ALX1	AC012379.1	3
ALX1	AC019080.1	1
ALX1	AC073850.6	3
ALX1	AC074286.1	13
ALX1	AC084117.3	1
ALX1	AC092431.2	3
ALX1	AC099326.1	5
ALX1	AC130709.1	7
ALX1	ADCY1	9
ALX1	AL035697.1	5
ALX1	AL592494.5	2
ALX1	ANKRD32	2
ALX1	ANXA4	7
ALX1	AP003354.1	7
ALX1	APLF	32
ALX1	AQP1	3
ALX1	ARHGAP42P5	2
ALX1	AZIN1	4
ALX1	C19orf82	4
ALX1	C4BPAP2	1
ALX1	C9orf47	2
ALX1	CD36	61
ALX1	CREG1	5
ALX1	CSTF3	4
ALX1	CTC-303L1.2	2
ALX1	CTD-2033A16.1	1
ALX1	CTD-2301A4.3	2
ALX1	CTD-2301A4.5	2
ALX1	EID1	3
ALX1	FAM188B	8
ALX1	FBXO48	1
ALX1	FREM1	30
ALX1	GNAT3	18
ALX1	HIF1AN	1
ALX1	IDO1	8
ALX1	IDO2	14
ALX1	INMT-FAM188B	8
ALX1	KB-1254G8.1	1
ALX1	KB-1507C5.2	18
ALX1	KIAA0825	2
ALX1	LDHA	2
ALX1	LDHC	1
ALX1	MAPK1	9
ALX1	MIR3159	1
ALX1	MITF	31
ALX1	MXD3	1
ALX1	NDUFB8	4
ALX1	NFAT5	1
ALX1	NFE2L2	13
ALX1	NQO1	1
ALX1	NSD1	22
ALX1	PABPC1P13	2
ALX1	PARK2	201
ALX1	PAWR	1
ALX1	PFDN4	1
ALX1	PIGCP1	1
ALX1	POTED	6
ALX1	PPP1R12A	4
ALX1	PRELID1	1
ALX1	PRKRA	2
ALX1	RAB24	1
ALX1	RN7SL418P	1
ALX1	RN7SL487P	1
ALX1	RN7SL604P	4
ALX1	RNA5SP493	3
ALX1	RNU6-1260P	7
ALX1	RNU6-286P	6
ALX1	RP11-138E16.1	7
ALX1	RP11-235E17.5	1
ALX1	RP11-23F23.2	1
ALX1	RP11-30L15.4	3
ALX1	RP11-311C24.1	1
ALX1	RP11-326A13.1	1
ALX1	RP11-337N6.1	5
ALX1	RP11-337N6.2	5
ALX1	RP11-343N15.2	2
ALX1	RP11-44K6.2	3
ALX1	RP11-44K6.3	19
ALX1	RP11-44K6.4	5
ALX1	RP11-44K6.5	2
ALX1	RP11-530C5.1	18
ALX1	RP11-536C10.12	2
ALX1	RP11-536C10.13	2
ALX1	RP11-536C10.16	2
ALX1	RP11-536C10.7	2
ALX1	RP11-626K17.5	8
ALX1	RP11-77O7.1	2
ALX1	RP11-82L18.4	1
ALX1	RPL5P24	4
ALX1	S1PR3	2
ALX1	SEC31B	6
ALX1	SHC3	1
ALX1	SHC4	18
ALX1	SHPK	1
ALX1	SNORA36C	4
ALX1	snoU13	5
ALX1	SNRPBP1	4
ALX1	TCEA1	6
ALX1	TCP11L1	9
ALX1	TUBGCP4	2
ALX1	U95743.1	3
ALX1	WNT8B	1
ALX1	Y_RNA	4
ALX1	ZKSCAN2	1
ALX1	ZNF562	5
ALX1	ZSCAN29	1
ALX3	AAK1	26
ALX3	AC004691.5	2
ALX3	AC004862.6	7
ALX3	AC006196.1	6
ALX3	AC009948.5	4
ALX3	AC012379.1	3
ALX3	AC019080.1	1
ALX3	AC073850.6	3
ALX3	AC074286.1	13
ALX3	AC084117.3	1
ALX3	AC092431.2	3
ALX3	AC099326.1	5
ALX3	AC130709.1	7
ALX3	ADCY1	9
ALX3	AL035697.1	5
ALX3	AL592494.5	2
ALX3	ANKRD32	2
ALX3	ANXA4	7
ALX3	AP003354.1	7
ALX3	APLF	32
ALX3	AQP1	3
ALX3	ARHGAP42P5	2
ALX3	AZIN1	4
ALX3	C19orf82	4
ALX3	C4BPAP2	1
ALX3	C9orf47	2
