TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.92	0.922	rgb(227, 41, 43)	2	2,2
Irf7	Rtp4	0.9982	50.89	0.886	rgb(227, 48, 50)	1.9994	2,2
Irf1	Nlrc5	0.99639	50.87	0.869	rgb(227, 51, 53)	1.999	None
Sp110	Cdkn2d	0.99459	50.83	0.828	rgb(226, 59, 61)	1.9982	2,2
Zfp182	Fyco1	0.99278	50.82	0.823	rgb(226, 60, 61)	1.998	2,2
Irf7	Rsad2	0.99098	50.81	0.808	rgb(226, 63, 64)	1.9978	None
Rorc	Lingo4	0.99098	50.81	0.811	rgb(226, 62, 64)	1.9978	2,2
Nfkb2	Psd	0.98917	50.8	0.805	rgb(226, 63, 65)	1.9976	None
Zfp385a	Eng	0.98917	50.8	0.802	rgb(226, 64, 65)	1.9976	2,2
Zfp385a	Zmat3	0.98917	50.8	0.798	rgb(226, 65, 66)	1.9976	2,2
Irf9	Irf7	0.98737	50.79	0.785	rgb(226, 67, 69)	1.9974	2,2
Srebf1	Fads2	0.98737	50.79	0.791	rgb(226, 66, 67)	1.9974	2,2
Zfp367	Dtl	0.98737	50.79	0.792	rgb(226, 66, 67)	1.9974	2,2
Nr4a1	Nr4a3	0.98557	50.78	0.775	rgb(226, 69, 70)	1.9972	2,2
Mxd3	Cdc25b	0.98557	50.78	0.783	rgb(226, 67, 69)	1.9972	2,2
Foxo1	Icam5	-0.98376	50.76	-7.6E-01	rgb( 51,116,246)	1.9968	2,2
Irf1	Igtp	0.98376	50.76	0.758	rgb(225, 72, 74)	1.9968	2,2
Irf1	Tbx21	0.98376	50.76	0.761	rgb(225, 72, 73)	1.9968	2,2
Irf7	Ifit1	0.98376	50.76	0.763	rgb(225, 71, 73)	1.9968	None
Irf7	Xaf1	0.98376	50.76	0.756	rgb(225, 73, 74)	1.9968	None
Whsc1	Fancm	0.98376	50.76	0.76	rgb(225, 72, 73)	1.9968	2,2
Irf7	Cmpk2	0.98196	50.75	0.752	rgb(225, 73, 75)	1.9966	2,2
Irf7	I830012O16Rik	0.98196	50.75	0.749	rgb(225, 74, 75)	1.9966	2,2
Foxs1	Mylk2	0.98015	50.74	0.742	rgb(225, 75, 77)	1.9964	2,2
Srebf2	Dhcr24	0.97835	50.73	0.732	rgb(225, 77, 79)	1.9962	2,2
Zfp473	Fkrp	-0.97835	50.73	-7.3E-01	rgb( 58,120,245)	1.9962	2,2
Egr1	Egr2	0.97654	50.72	0.721	rgb(225, 79, 81)	1.996	None
Elk3	Capg	0.97654	50.72	0.721	rgb(225, 79, 81)	1.996	2,2
Irf1	Fam26f	0.97654	50.72	0.722	rgb(225, 79, 80)	1.996	None
Zfp467	Sspo	0.97654	50.72	0.72	rgb(225, 79, 81)	1.996	2,2
Zfp329	Neat1	0.97654	50.72	0.718	rgb(225, 80, 81)	1.996	2,2
Zfp367	Rpa2	0.97654	50.72	0.719	rgb(225, 80, 81)	1.996	2,2
Cux1	Epb4.1l2	0.97474	50.71	0.713	rgb(225, 81, 82)	1.9958	2,2
Irf1	Gbp4	0.97474	50.71	0.714	rgb(225, 81, 82)	1.9958	None
Irf1	Gbp7	0.97474	50.71	0.706	rgb(225, 82, 84)	1.9958	None
Tead1	Nupr1	0.97474	50.71	0.713	rgb(225, 81, 82)	1.9958	2,2
Cebpg	Pck2	0.97294	50.7	0.704	rgb(225, 83, 84)	1.9956	2,2
Hes1	Spink2	0.97294	50.7	0.701	rgb(225, 83, 85)	1.9956	2,2
Ikzf4	Treml2	0.97294	50.7	0.7	rgb(225, 83, 85)	1.9956	2,2
Irf7	2010002M12Rik	0.97294	50.7	0.695	rgb(225, 84, 86)	1.9956	2,2
