TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Rnf113a1	0.96377	50.66	0.657	rgb(224, 92, 93)	1.9956	2,2
Tcf12	Coro7	0.96377	50.66	0.659	rgb(224, 91, 92)	1.9956	None
Lyl1	Lix1l	0.96377	50.66	0.66	rgb(224, 91, 92)	1.9956	2,2
Zfp169	Inpp4a	0.96377	50.66	0.66	rgb(224, 91, 92)	1.9956	2,2
Zfp385a	Psrc1	0.96377	50.66	0.665	rgb(224, 90, 91)	1.9956	2,2
Hif1a	Rab39	0.9615	50.65	0.648	rgb(224, 93, 94)	1.9954	None
Klf4	Ppm1j	0.9615	50.65	0.647	rgb(224, 93, 95)	1.9954	None
Fbxl19	Mex3d	0.9615	50.65	0.653	rgb(224, 92, 94)	1.9954	2,2
Zfp367	Exo1	0.9615	50.65	0.651	rgb(224, 93, 94)	1.9954	2,2
Bcl6	Fam131b	0.95924	50.64	0.636	rgb(224, 96, 97)	1.9952	None
Rela	Ptpn1	-0.95924	50.64	-6.4E-01	rgb( 79,133,241)	1.9952	None
Rreb1	Tmem181b-ps	0.95924	50.64	0.636	rgb(224, 96, 97)	1.9952	None
Zfp664	Actbl2	0.95924	50.64	0.638	rgb(224, 95, 96)	1.9952	None
Zfp711	Lrp11	0.95924	50.64	0.642	rgb(224, 94, 96)	1.9952	None
Csrnp1	Osm	0.95924	50.64	0.641	rgb(224, 95, 96)	1.9952	2,2
Zfp367	Apitd1	0.95924	50.64	0.639	rgb(224, 95, 96)	1.9952	2,2
Zfp385a	Acot1	0.95924	50.64	0.635	rgb(224, 96, 97)	1.9952	2,2
E2f4	Arhgap33	0.95697	50.63	0.633	rgb(224, 96, 97)	1.995	None
Hif1a	Galk1	0.95697	50.63	0.633	rgb(224, 96, 97)	1.995	2,2
Klf9	Fam129a	-0.95697	50.63	-6.3E-01	rgb( 81,134,241)	1.995	None
Nr4a3	Asb2	0.95697	50.63	0.627	rgb(224, 97, 99)	1.995	None
Prdm1	Serpine1	0.95697	50.63	0.629	rgb(224, 97, 98)	1.995	None
Smad3	Adam19	0.95697	50.63	0.634	rgb(224, 96, 97)	1.995	None
Smad3	Tmeff1	0.95697	50.63	0.625	rgb(224, 98, 99)	1.995	None
Sp3	Ovol1	0.95697	50.63	0.625	rgb(224, 98, 99)	1.995	None
Stat1	Parp9	0.95697	50.63	0.631	rgb(224, 97, 98)	1.995	2,2
Zfp367	Pknox1	-0.95697	50.63	-6.3E-01	rgb( 81,134,241)	1.995	2,2
Zfp429	Snhg6	0.95697	50.63	0.633	rgb(224, 96, 97)	1.995	2,2
Zfp629	Qprt	-0.95697	50.63	-6.3E-01	rgb( 81,134,241)	1.995	2,2
Zfp787	Ocrl	-0.95697	50.63	-6.3E-01	rgb( 80,134,241)	1.995	2,2
Zfp932	1700019G17Rik	0.95697	50.63	0.628	rgb(224, 97, 98)	1.995	2,2
Bhlhe40	Nhsl2	0.95471	50.62	0.617	rgb(224, 99,100)	1.9948	None
