TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Hif1a	Egln1	1	50.86	0.858	rgb(226, 53, 55)	2	None
Hif1a	Bnip3	0.99676	50.85	0.852	rgb(226, 54, 56)	1.9998	None
Hif1a	Ero1l	0.99676	50.85	0.852	rgb(226, 54, 56)	1.9998	None
Hes1	Plxna1	0.99351	50.82	0.821	rgb(226, 60, 62)	1.9992	None
Hif1a	1190002N15Rik	0.99351	50.82	0.825	rgb(226, 60, 61)	1.9992	None
Hif1a	Slc2a3	0.99351	50.82	0.816	rgb(226, 61, 63)	1.9992	2,2
Gabpa	Zfp445	0.99027	50.81	0.808	rgb(226, 63, 64)	1.999	None
Hif1a	Hk1	0.98702	50.79	0.788	rgb(226, 66, 68)	1.9986	None
C030039L03Rik	Ankzf1	0.98702	50.79	0.785	rgb(226, 67, 69)	1.9986	2,2
Hif1a	Ppme1	0.98378	50.78	0.779	rgb(226, 68, 70)	1.9984	None
Mga	Klrk1	0.98378	50.78	0.777	rgb(226, 69, 70)	1.9984	2,2
Sall4	Foxp3	0.98378	50.78	0.776	rgb(226, 69, 70)	1.9984	None
Rela	Sh3kbp1	0.98053	50.77	0.773	rgb(226, 69, 71)	1.9982	None
Zbtb46	Scin	0.98053	50.77	0.771	rgb(225, 70, 71)	1.9982	2,2
Hif1a	Narf	0.97729	50.76	0.755	rgb(225, 73, 74)	1.998	None
E2f1	Smpd4	0.97404	50.75	0.749	rgb(225, 74, 75)	1.9978	None
E2f4	Mxd3	0.97404	50.75	0.748	rgb(225, 74, 76)	1.9978	None
Hif1a	2310022B05Rik	0.97404	50.75	0.751	rgb(225, 73, 75)	1.9978	2,2
Mycn	Ptp4a3	0.97404	50.75	0.754	rgb(225, 73, 74)	1.9978	None
Rela	Tnrc6a	0.97404	50.75	0.751	rgb(225, 74, 75)	1.9978	None
Bhlhe40	Nhsl2	0.9708	50.74	0.738	rgb(225, 76, 78)	1.9976	None
Hif1a	Slc2a1	0.9708	50.74	0.74	rgb(225, 76, 77)	1.9976	2,2
Hif1a	Smtnl2	0.9708	50.74	0.74	rgb(225, 76, 77)	1.9976	2,2
Rel	Nfkb2	0.9708	50.74	0.739	rgb(225, 76, 77)	1.9976	None
Smad3	Tmeff1	0.9708	50.74	0.744	rgb(225, 75, 76)	1.9976	None
Zfp948	Ankrd23	0.9708	50.74	0.736	rgb(225, 76, 78)	1.9976	2,2
Hif1a	Pgm2	0.96756	50.73	0.73	rgb(225, 77, 79)	1.9974	None
Skil	Chst3	-0.96756	50.73	-7.3E-01	rgb( 59,121,245)	1.9974	2,2
Hif1a	Bcar1	0.96431	50.72	0.719	rgb(225, 80, 81)	1.9972	2,2
Hif1a	Fam71f2	0.96431	50.72	0.719	rgb(225, 80, 81)	1.9972	None
Hif1a	Rab39	0.96431	50.72	0.721	rgb(225, 79, 81)	1.9972	None
Nr2f1	Icam1	-0.96431	50.72	-7.2E-01	rgb( 60,121,245)	1.9972	None
Zfp711	Lrp11	0.96431	50.72	0.718	rgb(225, 80, 81)	1.9972	None
Zfp605	Zfp12	0.96431	50.72	0.723	rgb(225, 79, 80)	1.9972	2,2
Zfp9	Fam114a2	0.96431	50.72	0.719	rgb(225, 80, 81)	1.9972	2,2
Hif1a	Arrb1	0.96107	50.71	0.713	rgb(225, 81, 82)	1.997	None
Hif1a	Egln3	0.96107	50.71	0.709	rgb(225, 82, 83)	1.997	None
Hif1a	Ppp1r3b	0.96107	50.71	0.713	rgb(225, 81, 82)	1.997	2,2
Hif1a	Sap30	0.96107	50.71	0.714	rgb(225, 81, 82)	1.997	None
Klf8	Hist1h1a	0.96107	50.71	0.711	rgb(225, 81, 83)	1.997	None
Smad3	Olfm2	0.96107	50.71	0.715	rgb(225, 81, 82)	1.997	None
Sp2	Dkkl1	0.96107	50.71	0.71	rgb(225, 81, 83)	1.997	None
Tcf12	Ppm1f	0.96107	50.71	0.707	rgb(225, 82, 83)	1.997	None
Trps1	Edn3	-0.96107	50.71	-7.1E-01	rgb( 63,123,244)	1.997	2,2
E2f1	Anln	0.95782	50.7	0.7	rgb(225, 83, 85)	1.9968	None
Egr2	Arrb1	0.95782	50.7	0.699	rgb(225, 83, 85)	1.9968	None
Hif1a	Jmjd6	0.95782	50.7	0.702	rgb(225, 83, 84)	1.9968	None
Hif1a	Mboat2	0.95782	50.7	0.696	rgb(225, 84, 86)	1.9968	2,2
Zfp523	Angptl4	0.95782	50.7	0.697	rgb(225, 84, 85)	1.9968	None
Foxo3	Pogz	-0.95458	50.69	-6.9E-01	rgb( 68,126,243)	1.9966	None
Hif1a	Pafah1b3	0.95458	50.69	0.692	rgb(225, 85, 86)	1.9966	2,2
Tcf3	H2-Aa	0.95458	50.69	0.693	rgb(225, 85, 86)	1.9966	None
Foxf2	Rtn4	0.95133	50.68	0.682	rgb(224, 87, 88)	1.9964	None
Foxo1	Sepp1	0.95133	50.68	0.681	rgb(224, 87, 88)	1.9964	None
Hif1a	P4hb	0.95133	50.68	0.676	rgb(224, 88, 89)	1.9964	2,2
Rest	Dlgap3	0.95133	50.68	0.684	rgb(225, 86, 88)	1.9964	None
Sp3	Arid3a	0.95133	50.68	0.679	rgb(224, 87, 89)	1.9964	None
Stat3	Atp2b4	0.95133	50.68	0.685	rgb(225, 86, 88)	1.9964	None
Stat5b	Ddr1	0.95133	50.68	0.681	rgb(224, 87, 88)	1.9964	None
Tcf7l1	Qser1	0.95133	50.68	0.679	rgb(224, 87, 89)	1.9964	None
Zfp367	Pknox1	-0.95133	50.68	-6.8E-01	rgb( 69,127,243)	1.9964	2,2
Zfp385a	Eng	0.95133	50.68	0.685	rgb(225, 86, 88)	1.9964	2,2
E2f4	C2cd2l	0.94809	50.67	0.671	rgb(224, 89, 90)	1.9962	None
Hif1a	1700001L05Rik	0.94809	50.67	0.667	rgb(224, 90, 91)	1.9962	2,2
Hif1a	H2-Ab1	0.94809	50.67	0.675	rgb(224, 88, 89)	1.9962	2,2
Hif1a	Pgam1	0.94809	50.67	0.666	rgb(224, 90, 91)	1.9962	None
Patz1	Ppm1j	0.94809	50.67	0.671	rgb(224, 89, 90)	1.9962	None
Six4	Gap43	0.94809	50.67	0.671	rgb(224, 89, 90)	1.9962	None
Smad3	Col15a1	0.94809	50.67	0.67	rgb(224, 89, 90)	1.9962	None
Smad3	Ctla2b	0.94809	50.67	0.669	rgb(224, 89, 91)	1.9962	None
Stat1	Parp9	0.94809	50.67	0.671	rgb(224, 89, 90)	1.9962	2,2
Zbtb7b	Cln6	0.94809	50.67	0.671	rgb(224, 89, 90)	1.9962	None
Zscan10	Pou2f2	0.94809	50.67	0.672	rgb(224, 89, 90)	1.9962	None
