TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Tbx21	Tbkbp1	1	50.94	0.936	rgb(227, 38, 40)	2	2,2
Rorc	Lingo4	0.99768	50.88	0.882	rgb(227, 48, 50)	1.9988	2,2
Hif1a	P4hb	0.99536	50.83	0.828	rgb(226, 59, 60)	1.9978	None
Nr4a3	Nr4a1	0.99536	50.83	0.832	rgb(226, 58, 60)	1.9978	2,2
Sp110	Cdkn2d	0.99305	50.81	0.808	rgb(226, 63, 64)	1.9974	2,2
Hif1a	Ero1l	0.99073	50.78	0.778	rgb(226, 68, 70)	1.9968	None
Zfp367	Dtl	0.98841	50.77	0.769	rgb(225, 70, 72)	1.9966	2,2
Epas1	Slc2a1	0.98609	50.76	0.756	rgb(225, 73, 74)	1.9964	None
Hif1a	Egln1	0.98609	50.76	0.763	rgb(225, 71, 73)	1.9964	None
Tbx21	Nlrc5	0.98609	50.76	0.756	rgb(225, 73, 74)	1.9964	2,2
Epas1	Egln1	0.98377	50.75	0.755	rgb(225, 73, 74)	1.9962	None
Atf6	Lamc1	0.98377	50.75	0.745	rgb(225, 75, 76)	1.9962	2,2
C030039L03Rik	Gapdhs	0.98377	50.75	0.754	rgb(225, 73, 74)	1.9962	2,2
Ahrr	Cyp1b1	0.98145	50.74	0.735	rgb(225, 77, 78)	1.996	2,2
Nr3c1	Ptk7	0.97914	50.73	0.728	rgb(225, 78, 79)	1.9958	None
Zfp367	Exo1	0.97914	50.73	0.731	rgb(225, 77, 79)	1.9958	2,2
Zfp467	Sspo	0.97914	50.73	0.729	rgb(225, 78, 79)	1.9958	2,2
Zfp536	Tlcd1	-0.97914	50.73	-7.3E-01	rgb( 58,120,245)	1.9958	2,2
Crem	Hk2	-0.97682	50.72	-7.2E-01	rgb( 62,123,244)	1.9956	None
Hif1a	Ppp1r13l	0.97682	50.72	0.719	rgb(225, 80, 81)	1.9956	None
Zfp148	Mapre3	0.97682	50.72	0.72	rgb(225, 80, 81)	1.9956	None
Sgsm2	Tert	0.97682	50.72	0.722	rgb(225, 79, 81)	1.9956	2,2
Twist1	Fam160a1	0.97682	50.72	0.716	rgb(225, 80, 82)	1.9956	2,2
Zfp367	Pknox1	-0.97682	50.72	-7.2E-01	rgb( 62,122,244)	1.9956	2,2
Hif1a	Sap30	0.9745	50.71	0.712	rgb(225, 81, 82)	1.9954	None
Nfkb1	Nfat5	0.9745	50.71	0.707	rgb(225, 82, 83)	1.9954	None
Zfhx3	Ptgfrn	0.9745	50.71	0.706	rgb(225, 82, 84)	1.9954	None
Tbx21	Gbp2	0.9745	50.71	0.714	rgb(225, 81, 82)	1.9954	2,2
Zfp467	Wnt10a	0.9745	50.71	0.706	rgb(225, 82, 84)	1.9954	2,2
Epas1	Cep170	0.97218	50.7	0.7	rgb(225, 83, 85)	1.9952	2,2
Epas1	Hk1	0.97218	50.7	0.699	rgb(225, 83, 85)	1.9952	2,2
Hbp1	Zc3h7b	0.97218	50.7	0.7	rgb(225, 83, 85)	1.9952	None
Trp53	Gna15	0.97218	50.7	0.698	rgb(225, 84, 85)	1.9952	None
Trp53	Ptp4a3	0.97218	50.7	0.705	rgb(225, 82, 84)	1.9952	None
Foxs1	Mylk2	0.97218	50.7	0.697	rgb(225, 84, 85)	1.9952	2,2
Mxd3	Cdc25b	0.97218	50.7	0.695	rgb(225, 84, 86)	1.9952	2,2
Zfp146	Qtrtd1	0.97218	50.7	0.699	rgb(225, 83, 85)	1.9952	2,2
Gabpa	Gpatch4	0.96986	50.69	0.692	rgb(225, 85, 86)	1.995	None
Pknox1	Angptl6	-0.96986	50.69	-6.9E-01	rgb( 68,126,243)	1.995	None
Plagl1	Mboat7	0.96986	50.69	0.691	rgb(225, 85, 86)	1.995	None
Sp2	Kif13b	-0.96986	50.69	-6.9E-01	rgb( 68,126,243)	1.995	None
Fli1	Pcbp4	-0.96754	50.68	-6.8E-01	rgb( 69,127,243)	1.9948	None
Irf9	I830012O16Rik	0.96754	50.68	0.676	rgb(224, 88, 89)	1.9948	2,2
Msc	Penk	0.96754	50.68	0.679	rgb(224, 87, 89)	1.9948	2,2
Twist1	Slit3	0.96754	50.68	0.677	rgb(224, 88, 89)	1.9948	2,2
Zfp948	Ankrd23	0.96754	50.68	0.683	rgb(225, 86, 88)	1.9948	2,2
Hif1a	2310022B05Rik	0.96523	50.67	0.666	rgb(224, 90, 91)	1.9946	None
Irf9	2010002M12Rik	0.96523	50.67	0.674	rgb(224, 88, 90)	1.9946	None
Irf9	Pyhin1	0.96523	50.67	0.668	rgb(224, 89, 91)	1.9946	2,2
Klf7	Ppp1r13l	0.96523	50.67	0.665	rgb(224, 90, 91)	1.9946	None
Mycn	Smpd3	0.96523	50.67	0.669	rgb(224, 89, 91)	1.9946	None
Creb3l2	Syn1	0.96523	50.67	0.666	rgb(224, 90, 91)	1.9946	2,2
E2f4	Tyms	0.96523	50.67	0.808	rgb(226, 63, 64)	1.9946	2,2
Hif1a	Smtnl2	0.96291	50.66	0.663	rgb(224, 90, 92)	1.9944	None
Irf9	Rtp4	0.96291	50.66	0.663	rgb(224, 90, 92)	1.9944	None
Mxd4	Tcp11l2	0.96291	50.66	0.655	rgb(224, 92, 93)	1.9944	2,2
Npas4	Slc29a3	0.96291	50.66	0.661	rgb(224, 91, 92)	1.9944	2,2
Rorc	Il17f	0.96291	50.66	0.662	rgb(224, 91, 92)	1.9944	2,2
Sp110	Bcl2a1b	0.96291	50.66	0.661	rgb(224, 91, 92)	1.9944	2,2
Tal2	Dsp	0.96291	50.66	0.658	rgb(224, 91, 93)	1.9944	2,2
Tbx21	Tgtp2	0.96291	50.66	0.657	rgb(224, 92, 93)	1.9944	2,2
Zfp831	Lypd6b	0.96291	50.66	0.661	rgb(224, 91, 92)	1.9944	2,2
Etv5	P4hb	0.96059	50.65	0.651	rgb(224, 93, 94)	1.9942	None
Klf4	Dach2	0.96059	50.65	0.653	rgb(224, 92, 94)	1.9942	None
Mafb	Rab39b	0.96059	50.65	0.647	rgb(224, 93, 95)	1.9942	None
Trp53	Pomt2	0.96059	50.65	0.65	rgb(224, 93, 94)	1.9942	None
Adnp	Slc39a9	0.96059	50.65	0.653	rgb(224, 92, 94)	1.9942	2,2
Dpf1	Gipr	0.96059	50.65	0.652	rgb(224, 93, 94)	1.9942	2,2
Fos	Ets2	0.96059	50.65	0.649	rgb(224, 93, 94)	1.9942	2,2
Fos	Me2	-0.96059	50.65	-6.5E-01	rgb( 76,131,242)	1.9942	2,2
Pou2af1	Il10ra	-0.96059	50.65	-6.5E-01	rgb( 77,132,242)	1.9942	2,2
Scrt1	Cyp2s1	0.96059	50.65	0.645	rgb(224, 94, 95)	1.9942	2,2
Tbx21	Igtp	0.96059	50.65	0.647	rgb(224, 93, 95)	1.9942	2,2
Zfp385a	Ptp4a3	0.96059	50.65	0.653	rgb(224, 92, 94)	1.9942	2,2
Zfp385a	Zmat3	0.96059	50.65	0.645	rgb(224, 94, 95)	1.9942	2,2
Zfp536	Gykl1	0.96059	50.65	0.647	rgb(224, 93, 95)	1.9942	2,2
Zfp870	Zranb3	0.96059	50.65	0.648	rgb(224, 93, 94)	1.9942	2,2
E2f4	Rpa2	0.96059	50.65	0.808	rgb(226, 63, 64)	1.9942	None
Hif1a	Muc2	0.95827	50.64	0.637	rgb(224, 95, 97)	1.994	None
