TF	Target	SignedQuantile	NonzeroSubsamples(Stability)	pCorr	stroke	stroke-width	stroke-dasharray
Irf1	Nlrc5	1	50.89	0.887	rgb(227, 48, 49)	2	2,2
Irf7	Rtp4	1	50.89	0.887	rgb(227, 48, 49)	2	None
Irf9	Irf7	1	50.89	0.885	rgb(227, 48, 50)	2	None
Tbx21	Tbkbp1	1	50.89	0.886	rgb(227, 48, 49)	2	2,2
Srebf2	Dhcr24	0.99746	50.88	0.885	rgb(227, 48, 50)	1.9998	None
Foxs1	Mylk2	0.99492	50.81	0.813	rgb(226, 62, 63)	1.9984	2,2
Irf1	Tbx21	0.99239	50.8	0.802	rgb(226, 64, 65)	1.9982	2,2
Irf7	Rsad2	0.99239	50.8	0.797	rgb(226, 65, 66)	1.9982	None
Sp2	Brd3	0.99239	50.8	0.805	rgb(226, 63, 65)	1.9982	None
Rorc	Lingo4	0.99239	50.8	0.798	rgb(226, 65, 66)	1.9982	2,2
Sp110	Cdkn2d	0.99239	50.8	0.803	rgb(226, 64, 65)	1.9982	2,2
Ahrr	Cyp1b1	0.98985	50.79	0.787	rgb(226, 67, 68)	1.998	None
Cebpg	Slc7a3	0.98985	50.79	0.788	rgb(226, 67, 68)	1.998	None
Hsf1	Sra1	-0.98985	50.79	-7.9E-01	rgb( 45,112,247)	1.998	None
Irf1	Erap1	0.98985	50.79	0.785	rgb(226, 67, 69)	1.998	None
Ddit3	Sars	0.98731	50.78	0.781	rgb(226, 68, 69)	1.9978	2,2
Irf7	Xaf1	0.98731	50.78	0.777	rgb(226, 69, 70)	1.9978	None
Zbed6	Zfp445	0.98731	50.78	0.777	rgb(226, 69, 70)	1.9978	None
Zfp329	A230072C01Rik	0.98731	50.78	0.78	rgb(226, 68, 69)	1.9978	2,2
Irf1	Igtp	0.98477	50.77	0.771	rgb(225, 70, 71)	1.9976	None
Srebf1	Abcg1	0.98477	50.77	0.773	rgb(226, 69, 71)	1.9976	None
Bhlhe40	Anxa2	0.98223	50.76	0.761	rgb(225, 72, 73)	1.9974	None
Elf1	Arhgef6	0.98223	50.76	0.756	rgb(225, 73, 74)	1.9974	None
Elk3	Capg	0.98223	50.76	0.759	rgb(225, 72, 73)	1.9974	2,2
Irf7	Isg20	0.98223	50.76	0.757	rgb(225, 72, 74)	1.9974	None
Sp4	Fbxw2	0.98223	50.76	0.757	rgb(225, 72, 74)	1.9974	None
Zbed6	Cnot1	0.98223	50.76	0.761	rgb(225, 72, 73)	1.9974	None
Zbed6	Tsc1	0.98223	50.76	0.765	rgb(225, 71, 72)	1.9974	None
C030039L03Rik	Atp7b	0.98223	50.76	0.759	rgb(225, 72, 74)	1.9974	2,2
Bhlhe40	Fam129a	0.97969	50.75	0.75	rgb(225, 74, 75)	1.9972	None
Cebpg	Chac1	0.97969	50.75	0.748	rgb(225, 74, 76)	1.9972	None
Irf1	Gbp5	0.97969	50.75	0.749	rgb(225, 74, 75)	1.9972	None
Irf7	Ifit1	0.97969	50.75	0.751	rgb(225, 74, 75)	1.9972	None
C030039L03Rik	Ankzf1	0.97969	50.75	0.748	rgb(225, 74, 76)	1.9972	2,2
C030039L03Rik	Gapdhs	0.97969	50.75	0.75	rgb(225, 74, 75)	1.9972	2,2
Zfp536	Lpin3	0.97969	50.75	0.753	rgb(225, 73, 75)	1.9972	2,2
Egr1	Egr3	0.97716	50.74	0.744	rgb(225, 75, 76)	1.997	None
Junb	Hook2	0.97716	50.74	0.742	rgb(225, 75, 77)	1.997	None
Sp2	Psmd8	-0.97716	50.74	-7.4E-01	rgb( 55,119,245)	1.997	None
Srebf1	Fads2	0.97716	50.74	0.74	rgb(225, 76, 77)	1.997	None
Srebf2	Cyfip2	0.97716	50.74	0.739	rgb(225, 76, 77)	1.997	None
Arid3a	Itm2a	-0.97462	50.73	-7.3E-01	rgb( 58,120,245)	1.9968	None
Irf5	Cd44	0.97462	50.73	0.729	rgb(225, 78, 79)	1.9968	None
Irf7	Gbp9	0.97462	50.73	0.735	rgb(225, 77, 78)	1.9968	None
Nfil3	Epn2	0.97462	50.73	0.729	rgb(225, 78, 79)	1.9968	None
Tead1	Nupr1	0.97462	50.73	0.726	rgb(225, 78, 80)	1.9968	None
Tulp3	Il2ra	0.97462	50.73	0.729	rgb(225, 78, 79)	1.9968	2,2
Zfp629	Ttbk2	0.97462	50.73	0.733	rgb(225, 77, 78)	1.9968	2,2
Cebpg	Slc6a9	0.97208	50.72	0.725	rgb(225, 79, 80)	1.9966	2,2
Egr1	Egr2	0.97208	50.72	0.723	rgb(225, 79, 80)	1.9966	None
Irf7	Ifit3	0.97208	50.72	0.719	rgb(225, 80, 81)	1.9966	2,2
Maf	Ctla2a	0.97208	50.72	0.719	rgb(225, 80, 81)	1.9966	None
Rfx7	Hist2h2bb	-0.97208	50.72	-7.2E-01	rgb( 60,121,245)	1.9966	None
Smad4	C2cd2l	0.97208	50.72	0.722	rgb(225, 79, 80)	1.9966	None
Sp2	Zfp609	0.97208	50.72	0.722	rgb(225, 79, 81)	1.9966	None
Sp4	Kbtbd11	0.97208	50.72	0.723	rgb(225, 79, 80)	1.9966	None
Tbx21	Ly6a	0.97208	50.72	0.724	rgb(225, 79, 80)	1.9966	2,2
Crem	Agpat9	0.96954	50.71	0.705	rgb(225, 82, 84)	1.9964	None
Crem	Vps37b	0.96954	50.71	0.712	rgb(225, 81, 83)	1.9964	None
Egr2	Runx1	0.96954	50.71	0.707	rgb(225, 82, 83)	1.9964	None
Foxp1	Dapl1	0.96954	50.71	0.711	rgb(225, 81, 83)	1.9964	None
Mxi1	Serpine1	0.96954	50.71	0.715	rgb(225, 81, 82)	1.9964	None
Nfatc2	Atp2b4	0.96954	50.71	0.706	rgb(225, 82, 84)	1.9964	None
Pou2f2	Egr2	-0.96954	50.71	-7.1E-01	rgb( 64,124,244)	1.9964	None
Smad3	Tmem19	-0.96954	50.71	-7.1E-01	rgb( 63,123,244)	1.9964	None
Smad4	Prex1	0.96954	50.71	0.708	rgb(225, 82, 83)	1.9964	None
Sp2	E2f7	0.96954	50.71	0.707	rgb(225, 82, 83)	1.9964	None
Sp2	Slc39a9	0.96954	50.71	0.708	rgb(225, 82, 83)	1.9964	None
Sp4	Bcor	-0.96954	50.71	-7.1E-01	rgb( 63,124,244)	1.9964	None
Zbed6	Slc29a3	0.96954	50.71	0.708	rgb(225, 82, 83)	1.9964	None
Elf1	Il2ra	-0.967	50.7	-7.0E-01	rgb( 66,125,244)	1.9962	None
Irf4	Atp8b4	-0.967	50.7	-7.0E-01	rgb( 65,125,244)	1.9962	None
Nr1h2	Gltscr2	0.967	50.7	0.698	rgb(225, 84, 85)	1.9962	None
