TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
Klf12	Adamts20	0.17585	45.28	0.285	rgb(220,163,163)	1.8872	2,2
Sp6	Adamts20	0.37416	47.4	0.402	rgb(221,140,141)	1.9297	2,2
Klf4	Adamtsl5	0.71599	50.21	0.209	rgb(219,177,178)	1.986	None
Klf7	Adamtsl5	0.51321	49.09	0.093	rgb(218,199,199)	1.9635	None
Klf8	Adamtsl5	0.80319	50.31	0.311	rgb(220,158,158)	1.988	None
Sp9	Adamtsl5	0.65562	50.11	0.111	rgb(218,196,196)	1.984	None
Klf4	Adap1	0.40358	48.16	0.162	rgb(219,186,186)	1.9449	None
Klf5	Adap1	-0.11874	45.07	-6.9E-02	rgb(202,208,220)	1.883	None
Thra	Adap1	0.64857	50.04	0.041	rgb(217,209,209)	1.9826	None
Zbtb7a	Adap1	0.95327	50.48	0.482	rgb(222,125,126)	1.9914	None
Sp4	Adck1	-0.14233	45.17	-1.7E-01	rgb(180,195,223)	1.885	None
Sp6	Adck1	0.22305	46.15	0.145	rgb(219,189,190)	1.9046	None
Zbtb7b	Adck1	-0.79685	50.29	-2.9E-01	rgb(154,179,228)	1.9876	None
Klf5	Adipor2	0.17546	45.4	0.399	rgb(221,141,142)	1.8896	None
Sp4	Adipor2	0.39596	48.13	0.127	rgb(218,193,193)	1.9443	None
Klf7	Adm	0.32789	47.23	0.235	rgb(220,172,173)	1.9263	None
Sp6	Adm	0.87479	50.38	0.376	rgb(221,145,146)	1.9894	None
Sp9	Adm	0.72884	50.24	0.243	rgb(220,171,171)	1.9866	None
Hic1	Aes	0.71166	50.22	0.217	rgb(219,176,176)	1.9862	None
Klf12	Aes	0.53039	49.18	0.179	rgb(219,183,183)	1.9653	None
Klf7	Aes	0.67753	50.17	0.167	rgb(219,185,185)	1.9852	None
Klf13	Afap1	0.39365	48.04	0.039	rgb(217,210,210)	1.9425	2,2
Klf4	Afap1	0.37233	47.39	0.39	rgb(221,143,143)	1.9295	None
Klf5	Afap1	0.49868	48.43	0.429	rgb(222,135,136)	1.9503	None
Klf7	Afap1	0.5746	49.26	0.262	rgb(220,167,167)	1.9669	None
Sp6	Afap1	0.46892	48.32	0.665	rgb(224, 90, 91)	1.9481	None
Sp9	Afap1	0.61377	49.35	0.382	rgb(221,144,145)	1.9687	None
Klf13	Aga	-0.36519	47.3	-3.0E-01	rgb(151,177,228)	1.9277	2,2
Zbtb7b	Aga	-0.2787	47.05	-4.8E-02	rgb(207,211,219)	1.9227	2,2
Klf8	Agpat9	0.46719	48.29	0.286	rgb(220,162,163)	1.9475	2,2
Sp9	Agpat9	0.1951	46.12	0.116	rgb(218,195,195)	1.904	2,2
Klf4	Ahnak	0.67753	50.17	0.17	rgb(219,184,185)	1.9852	None
Klf5	Ahnak	0.40935	48.14	0.139	rgb(219,190,191)	1.9445	None
Thra	Ahnak	0.40358	48.16	0.157	rgb(219,187,187)	1.9449	None
Hic1	Akap12	0.8701	50.37	0.366	rgb(221,147,148)	1.9892	None
Klf4	Akap12	0.049581	44.14	0.136	rgb(218,191,191)	1.8644	None
Sp6	Akap12	0.88983	50.39	0.812	rgb(226, 62, 64)	1.9896	None
Klf7	Aldh1l2	0.30145	47.16	0.161	rgb(219,186,186)	1.9249	None
Sp9	Aldh1l2	0.67753	50.17	0.174	rgb(219,184,184)	1.9852	None
Klf5	Als2cl	0.98878	50.56	0.557	rgb(223,111,112)	1.993	None
Sp4	Als2cl	0.68306	50.18	0.18	rgb(219,183,183)	1.9854	None
