TF	Target	SignedQuantile	combStability	combPCorr	stroke	stroke-width	stroke-dasharray
E2f4	Fam111a	0.68612	50.17	0.171	rgb(219,184,185)	1.9852	2,2
Egr1	Fam111a	0.55616	49.23	0.234	rgb(220,172,173)	1.9663	None
Zfp367	Fam111a	0.99566	50.62	0.623	rgb(224, 98, 99)	1.9942	2,2
E2f1	Fancm	0.93795	50.43	0.433	rgb(222,134,135)	1.9904	None
E2f4	Fancm	0.072368	44.3	0.3	rgb(220,160,160)	1.8676	None
Egr1	Fbxo18	-0.66518	50.14	-1.4E-01	rgb(186,198,222)	1.9846	None
Zfp870	Fbxo18	0.01703	43.33	0.334	rgb(221,153,154)	1.8481	2,2
E2f1	Fbxw2	-0.76378	50.26	-2.6E-01	rgb(160,182,227)	1.987	None
Egr1	Fbxw2	-0.30909	47.18	-1.8E-01	rgb(179,194,224)	1.9253	None
E2f1	Gen1	0.98181	50.56	0.557	rgb(223,111,112)	1.993	None
E2f4	Gen1	0.85362	50.34	0.336	rgb(221,153,154)	1.9886	None
E2f4	Ggct	-0.22901	46.17	-1.7E-01	rgb(181,195,223)	1.905	None
Egr1	Ggct	0.98321	50.53	0.53	rgb(223,116,117)	1.9924	None
E2f1	Guca1a	-0.67514	50.15	-1.5E-01	rgb(185,197,223)	1.9848	2,2
Egr1	Guca1a	-0.26098	46.26	-2.6E-01	rgb(161,183,227)	1.9068	None
Egr1	Guca1b	0.25733	46.25	0.248	rgb(220,170,170)	1.9066	None
Zfp367	Guca1b	-0.45955	48.27	-3.8E-01	rgb(135,167,231)	1.9471	2,2
E2f4	Haus8	0.49135	48.44	0.441	rgb(222,133,134)	1.9505	None
Egr1	Haus8	-0.14712	45.19	-1.9E-01	rgb(176,192,224)	1.8854	None
E2f4	Hemk1	0.85362	50.34	0.337	rgb(221,153,153)	1.9886	None
Zfp870	Hemk1	0.19117	45.35	0.348	rgb(221,150,151)	1.8886	2,2
E2f1	Higd1a	-0.83091	50.32	-3.2E-01	rgb(147,175,229)	1.9882	None
E2f4	Higd1a	0.031545	44.05	0.045	rgb(217,208,208)	1.8626	None
Egr1	Higd1a	0.56083	49.24	0.243	rgb(220,171,171)	1.9665	None
E2f1	Ifit2	0.9341	50.45	0.447	rgb(222,132,133)	1.9908	None
Tfdp2	Ifit2	0.80818	50.3	0.812	rgb(226, 62, 64)	1.9878	None
E2f4	Impa2	0.78502	50.28	0.281	rgb(220,163,164)	1.9874	None
Zfp367	Impa2	0.56916	49.25	0.247	rgb(220,170,170)	1.9667	2,2
E2f4	Jak3	0.73808	50.25	0.254	rgb(220,168,169)	1.9868	None
Egr1	Jak3	0.28295	46.36	0.363	rgb(221,148,148)	1.9088	None
Egr1	Kctd7	-0.088355	45.01	-1.1E-02	rgb(215,216,217)	1.8818	None
Zfp870	Kctd7	0.86486	50.35	0.353	rgb(221,150,150)	1.9888	2,2
E2f4	Kdelc1	0.39836	48.14	0.139	rgb(219,190,191)	1.9445	None
Egr1	Kdelc1	0.68612	50.17	0.174	rgb(219,184,184)	1.9852	None
Zfp367	Kdelc1	0.84818	50.35	0.345	rgb(221,151,152)	1.9888	2,2
Zfp870	Kdelc1	0.49007	48.37	0.371	rgb(221,146,147)	1.9491	2,2
Egr1	Map3k14	-0.054556	44.24	-2.4E-01	rgb(165,185,226)	1.8664	None
Zfp870	Map3k14	-0.48219	48.37	-3.7E-01	rgb(136,168,231)	1.9491	2,2
Egr1	Mapk11	0.45955	48.27	0.269	rgb(220,166,166)	1.9471	None
Zfp367	Mapk11	-0.83719	50.34	-4.7E-01	rgb(115,155,235)	1.9886	2,2
E2f4	Mapk7	0.81418	50.32	0.324	rgb(221,155,156)	1.9882	None
Egr1	Mapk7	-0.42774	48.22	-2.2E-01	rgb(169,188,225)	1.9461	None
E2f1	Mboat7	0.75361	50.25	0.246	rgb(220,170,170)	1.9868	None
E2f4	Mboat7	0.68996	50.19	0.189	rgb(219,181,181)	1.9856	None
E2f1	Mcm9	0.032215	44.06	0.061	rgb(218,205,205)	1.8628	None
Tfdp2	Mcm9	0.45318	48.28	0.665	rgb(224, 90, 91)	1.9473	None
E2f1	Mir343	0.63132	49.4	0.398	rgb(221,141,142)	1.9697	None
Egr1	Mir343	0.71166	50.22	0.216	rgb(219,176,176)	1.9862	None
E2f1	Mllt6	0.41798	48.2	0.195	rgb(219,180,180)	1.9457	None
Egr1	Mllt6	-0.98023	50.52	-5.2E-01	rgb(104,148,237)	1.9922	None
Egr1	Osgepl1	0.65003	50.05	0.048	rgb(218,208,208)	1.9828	None
Tfdp2	Osgepl1	0.55077	49.22	0.223	rgb(219,174,175)	1.9661	2,2
Tfdp2	Oxct1	0.92016	50.43	0.429	rgb(222,135,136)	1.9904	2,2
Zfp367	Oxct1	0.91215	50.42	0.422	rgb(222,136,137)	1.9902	2,2
E2f1	Pank1	0.65359	50.1	0.101	rgb(218,198,198)	1.9838	None
Egr1	Pank1	0.92346	50.41	0.413	rgb(222,138,139)	1.99	None
Zfp367	Pank1	0.43261	48.23	0.226	rgb(219,174,174)	1.9463	2,2
E2f1	Pfas	0.89475	50.38	0.384	rgb(221,144,144)	1.9894	None
E2f4	Pfas	0.4393	48.22	0.223	rgb(219,174,175)	1.9461	None
E2f1	Pknox1	-0.66169	50.13	-1.3E-01	rgb(188,200,222)	1.9844	None
Zfp367	Pknox1	-0.99661	50.63	-6.3E-01	rgb( 81,134,241)	1.9944	2,2
E2f1	Pla2g4c	0.54639	49.2	0.198	rgb(219,179,179)	1.9657	2,2
Zfp367	Pla2g4c	0.54356	49.21	0.22	rgb(219,175,175)	1.9659	2,2
Tfdp2	Pms1	0.23779	46.25	0.553	rgb(223,111,113)	1.9066	2,2
Zfp367	Pms1	0.78001	50.29	0.288	rgb(220,162,163)	1.9876	2,2
Zfp870	Pms1	0.65849	50.12	0.472	rgb(222,127,128)	1.9842	2,2
E2f1	Pou2f2	0.55362	49.22	0.221	rgb(219,175,175)	1.9661	None
Egr1	Pou2f2	0.85925	50.36	0.356	rgb(221,149,150)	1.989	None
E2f1	Prss12	-0.39717	48.07	-6.6E-02	rgb(203,208,219)	1.9431	None
Egr1	Prss12	-0.70389	50.21	-2.1E-01	rgb(171,189,225)	1.986	None
Zfp367	Pydc3	-0.69659	50.2	-3.9E-01	rgb(132,166,232)	1.9858	2,2
Zfp870	Pydc3	-0.70389	50.21	-2.1E-01	rgb(171,189,225)	1.986	2,2
Egr1	Rabggta	-0.5185	49.15	-1.5E-01	rgb(184,197,223)	1.9647	None
Tfdp2	Rabggta	-0.35577	47.27	-2.7E-01	rgb(158,181,227)	1.9271	2,2
Zfp367	Rabggta	-0.26098	46.26	-2.6E-01	rgb(160,182,227)	1.9068	2,2
E2f1	Rpa2	0.82549	50.33	0.332	rgb(221,154,154)	1.9884	None
E2f4	Rpa2	0.71599	50.21	0.21	rgb(219,177,177)	1.986	None
Egr1	Rpa2	0.80818	50.3	0.302	rgb(220,159,160)	1.9878	None
Tfdp2	Rpa2	0.96907	50.49	0.812	rgb(226, 62, 64)	1.9916	None
Zfp367	Rpa2	0.9946	50.64	0.638	rgb(224, 95, 96)	1.9946	2,2
E2f1	Stk39	0.098099	44.32	0.316	rgb(220,157,157)	1.868	None
Egr1	Stk39	-0.38649	47.43	-4.3E-01	rgb(123,160,233)	1.9303	None
Egr1	Sumf2	0.79685	50.29	0.289	rgb(220,162,162)	1.9876	None
Zfp367	Sumf2	0.18765	45.33	0.335	rgb(221,153,154)	1.8882	2,2
E2f1	Syngr1	0.020142	43.36	0.358	rgb(221,149,149)	1.8487	None
Egr1	Syngr1	0.96154	50.47	0.472	rgb(222,127,128)	1.9912	None
E2f1	Tbc1d5	0.98985	50.6	0.597	rgb(224,103,104)	1.9938	None
Zfp367	Tbc1d5	0.50183	49.08	0.082	rgb(218,201,201)	1.9633	2,2
E2f1	Tbccd1	0.67753	50.17	0.174	rgb(219,184,184)	1.9852	None
E2f4	Tbccd1	0.445	48.26	0.312	rgb(220,157,158)	1.9469	None
Zfp870	Tbccd1	0.63935	49.53	0.529	rgb(223,116,117)	1.9724	2,2
E2f1	Tet3	0.77473	50.27	0.272	rgb(220,165,166)	1.9872	None
Egr1	Tet3	0.65562	50.11	0.115	rgb(218,195,195)	1.984	None
E2f1	Txndc17	-0.66015	50.11	-1.1E-01	rgb(193,202,221)	1.984	None
E2f4	Txndc17	-0.97097	50.52	-5.2E-01	rgb(104,148,237)	1.9922	None
E2f4	Tyms	0.89475	50.38	0.384	rgb(221,144,144)	1.9894	2,2
Zfp367	Tyms	0.97747	50.54	0.535	rgb(223,115,116)	1.9926	2,2
E2f1	Utrn	-0.79083	50.3	-3.0E-01	rgb(151,177,229)	1.9878	None
E2f4	Utrn	-0.39149	48.11	-1.1E-01	rgb(192,202,221)	1.9439	None
Egr1	Vav2	-0.33399	47.21	-2.1E-01	rgb(172,190,225)	1.9259	None
Zfp367	Vav2	-0.18189	46.02	-1.7E-02	rgb(213,215,218)	1.902	2,2
E2f1	Wdr76	0.26931	46.29	0.286	rgb(220,162,163)	1.9074	2,2
E2f4	Wdr76	0.96907	50.49	0.492	rgb(222,123,124)	1.9916	2,2
Tfdp2	Wdr76	0.10505	45.12	0.5	rgb(222,122,123)	1.884	2,2
Zfp367	Wdr76	0.98181	50.56	0.558	rgb(223,110,111)	1.993	2,2
Zfp870	Wdr76	0.91215	50.42	0.42	rgb(222,137,138)	1.9902	2,2
E2f1	Wee1	0.99752	50.7	0.699	rgb(225, 83, 85)	1.9958	None
E2f4	Wee1	0.29814	47.15	0.145	rgb(219,189,190)	1.9247	None
E2f1	Ypel5	-0.93795	50.43	-4.3E-01	rgb(124,160,233)	1.9904	None
E2f4	Ypel5	-0.79083	50.3	-3.0E-01	rgb(152,177,228)	1.9878	None
E2f4	Zbtb4	-0.17509	45.39	-3.9E-01	rgb(131,165,232)	1.8894	None
Egr1	Zbtb4	-0.72458	50.22	-2.2E-01	rgb(169,188,225)	1.9862	None
E2f1	Zcwpw1	0.11194	44.48	0.484	rgb(222,125,126)	1.8712	None
Tfdp2	Zcwpw1	0.89475	50.38	0.812	rgb(226, 62, 64)	1.9894	2,2
E2f1	Zfp324	0.76948	50.28	0.277	rgb(220,164,165)	1.9874	None
E2f4	Zfp324	0.43261	48.23	0.229	rgb(220,173,174)	1.9463	None
Egr1	Zfp324	-0.11194	44.48	-4.8E-01	rgb(112,153,235)	1.8712	None
E2f4	Zfp36	-0.83091	50.32	-3.2E-01	rgb(147,174,229)	1.9882	None
Egr1	Zfp36	0.95899	50.49	0.492	rgb(222,123,124)	1.9916	None
E2f4	Zranb3	0.96907	50.49	0.487	rgb(222,124,125)	1.9916	2,2
Tfdp2	Zranb3	0.99493	50.61	0.61	rgb(224,101,102)	1.994	2,2
Zfp367	Zranb3	0.56413	49.24	0.245	rgb(220,170,171)	1.9665	2,2
Zfp870	Zranb3	0.64459	49.56	0.555	rgb(223,111,112)	1.973	2,2
