TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Sp1	Th17_upOnly.txt	Th17_upOnly	1170	down	17	10	0.0168424994779	1	Aes Dst Glipr2 Lgr4 Ltb Maf Pdpn Pla2g12a Sgk1 Vim
Arid5a	Th17_downOnly.txt	Th17_downOnly	1248	up	6	5	0.0176901642453	1	Celf2 Cenpw Hist1h1c Inpp4b Tnfaip8
Atf6	Th17_downOnly.txt	Th17_downOnly	1248	down	10	7	0.0194344768491	1	Btla Casp3 Cenpw Igtp Itgb1 Rilpl2 Tlk1
Nfkb2	Th17_upOnly.txt	Th17_upOnly	1170	up	15	9	0.0197898695128	1	Batf Bcl2 Chd7 Cish Ero1l Glipr2 Lta Ltb Znrf1
Nfat5	Th17_upOnly.txt	Th17_upOnly	1170	down	20	11	0.0229497846073	1	Atp2b4 Ccl20 Ctla4 Dst Klhl6 Lgals3 Lpxn Mxd1 Nipal1 Rora Rorc
Zfp410	Th17_upOnly.txt	Th17_upOnly	1170	up	11	7	0.0268375986591	1	Adarb1 Il17a Klhl6 Ltb Pmepa1 Sesn3 Tnfrsf25
Irf2	Th17_downOnly.txt	Th17_downOnly	1248	up	67	30	0.0320672827321	1	Acsl5 Btla Bzw2 Casp3 Ccdc50 Celf2 Cenpw Cox17 Cyp51 Erap1 Gimap4 Grap Igtp Inpp4b Itgb1 Itm2a Jak2 Lrmp Mllt3 Myo6 Oxct1 Psme2 Ptprc Rab8b Rilpl2 Samsn1 Snhg6 Tapbp Tnfaip8 Utp20
Trps1	Th17_downOnly.txt	Th17_downOnly	1248	down	22	12	0.032097697179	1	B4galnt1 Casp3 Ccng1 Cenpw Gimap4 Igtp Itgb1 Itm2a Lrmp Psme2 Samsn1 Tapbp
Dnmt1	Th17_upOnly.txt	Th17_upOnly	1170	up	7	5	0.0341019057494	1	Aldoa Casp6 Gpr65 Lgr4 Pla2g12a
Creb1	Th17_upOnly.txt	Th17_upOnly	1170	down	5	4	0.0355600489509	1	Emb Hif1a Lgr4 Maf
Gabpa	Th17_upOnly.txt	Th17_upOnly	1170	down	14	8	0.0394603862481	1	Adam19 Aqp3 Ctla2a Ctla2b Cysltr1 Susd3 Tec Timp1
Ctcf	Th17_upOnly.txt	Th17_upOnly	1170	down	14	8	0.0394603862481	1	Eif4ebp1 Hif1a Igfbp4 Il17a Plod2 Rora Rorc Serpinb1a
Fosl2	Th17_downOnly.txt	Th17_downOnly	1248	down	25	13	0.0407308188153	1	Asf1a Casp3 Ccdc50 Ccng1 Cenpw Cyp51 Erap1 Gimap4 Inpp4b Itgb1 Itm2a Lrmp Snhg6
Bach2	Th17_downOnly.txt	Th17_downOnly	1248	down	9	6	0.0420675866341	1	B4galnt1 Btla Itm2a Lrmp Rilpl2 Snhg6
Skil	Th17_downOnly.txt	Th17_downOnly	1248	down	9	6	0.0420675866341	1	Casp3 Cenpw Igtp Rilpl2 Samsn1 Snhg6
Elk3	Th17_upOnly.txt	Th17_upOnly	1170	up	19	10	0.0421194964164	1	Acsl4 Aes Cyth4 Egln3 Klhl6 Lgals3 Lpxn Rbpj Rnf149 Treml2
Jrkl	Th17_downOnly.txt	Th17_downOnly	1248	down	18	10	0.0427320619103	1	B4galnt1 Casp3 Cenpw Cyp51 Gimap4 Lrmp Psme2 Rilpl2 Samsn1 Snhg6
Trp53	Th17_downOnly.txt	Th17_downOnly	1248	up	18	10	0.0427320619103	1	Bzw2 Ccng1 Cd81 Celf2 Grap Inpp4b Itgb1 Itm2a Mllt3 Trmt11
Cdc5l	Th17_downOnly.txt	Th17_downOnly	1248	up	7	5	0.0449603637686	1	Inpp4b Mllt3 Myo6 Tnfaip8 Trmt11
Pou2af1	Th17_upOnly.txt	Th17_upOnly	1170	up	12	7	0.0473243250018	1	Cd28 Egln3 Eif4e3 Lgr4 Pim1 Tec Tnfrsf25
Stat5b	Th17_upOnly.txt	Th17_upOnly	1170	down	22	11	0.0505773628302	1	AA467197 Abi3 Ass1 Ctla2a Gmfg Gngt2 Il9 Klrd1 Procr Srgn Susd3
