TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Zfp148	Th17_upOnly.txt	Th17_upOnly	1170	0	99	48	0.000206594575827	0.042971671772	Abi3 Aldoa Arid5a Atp2b4 Bdh2 Casp6 Cd28 Cdkn2d Crip1 Cyfip2 Cysltr1 Egln3 Emb Emp1 Emp3 Furin Galk1 Glipr2 Gmfg Gpr15 Hif1a Ikzf3 Il2ra Il4ra Lgals3 Lgr4 Lpxn Ltb Malt1 Mt1 Mt2 Mxd1 Nedd4 Pdpn Pim1 Plod2 Pmepa1 Rorc S100a13 Sema4d Sgk1 Srgn Susd3 Tec Tiparp Ucp2 Vim Znrf1
Hivep2	Th17_upOnly.txt	Th17_upOnly	1170	0	32	20	0.00024620127384	0.0509636636848	Abi3 Adarb1 Batf Cdkn2d Chd7 Eif4e3 Furin Galk1 Gngt2 Id2 Il10 Itgam Klhl6 Lgals3 Mt2 Ptgfrn Rnf149 Susd3 Tec Tnfrsf25
Fli1	Th17_upOnly.txt	Th17_upOnly	1170	0	41	24	0.00025403762025	0.0523317497714	Arid5a Casp6 Ccl20 Cd2 Chmp4b Crip1 Cyfip2 Eif4e3 Emb Glipr2 Gmfg Higd1a Itgam Lgals1 Lgals3 Lpxn Pla2g12a Pmepa1 Smox Srgn Tnfrsf25 Tnip2 Treml2 Znrf1
Rara	Th17_upOnly.txt	Th17_upOnly	1170	0	66	34	0.000426032297271	0.0873366209405	1600014C10Rik Abi3 Adam19 Aqp3 Bcl2 Ccl20 Cish Cnn2 Cpox Crem Ctla2b Dst Egln3 Emp1 Id2 Il10 Il17a Il21 Il2rb Il4ra Lgals3 Lpxn Mt1 Nipal1 Pdpn Procr Rora Rorc Satb1 Serpinb1a Sesn3 Sgk1 Timp1 Treml2
Junb	Th17_upOnly.txt	Th17_upOnly	1170	0	50	27	0.00063655579346	0.129857381866	Arid5a Casp6 Ccnd3 Chd7 Chmp4b Cndp2 Cpd Ctla2a Ctla2b Dst Emb Emp3 Fth1 Galk1 Gpr15 Ikzf3 Il10 Il17a Il1r1 Il2ra Klhl6 Malt1 Nipal1 Plod2 Pmepa1 Rora Znrf1
Ski	Th17_upOnly.txt	Th17_upOnly	1170	0	23	15	0.000790473255425	0.160466070851	AA467197 Abi3 Adarb1 Arid5a Ctla2a Emp3 Fth1 Furin Id2 Il1r1 Lgals3 Maf Procr Smox Tgm2
Ybx1	Th17_upOnly.txt	Th17_upOnly	1170	0	30	18	0.00101566522583	0.205164375618	Abi3 Cdkn2d Chd7 Crip1 Eif4e3 Emp3 Fau Fth1 Gpr65 Lpxn Mxd1 Plod2 Pmepa1 Rorc S100a13 Sesn3 Ucp2 Znrf1
Max	Th17_upOnly.txt	Th17_upOnly	1170	0	49	26	0.00113294088102	0.227721117085	Aqp3 Atp2b4 Cdkn2d Chd7 Cish Cndp2 Cpd Cpox Ctla2b Cysltr1 Egln3 Eif4ebp1 Galk1 Igfbp4 Klhl6 Lgals1 Lpxn Pdpn Pla2g12a Procr Rbpj Rorc Sept9 Sgk1 Ucp2 Vim
Srebf2	Th17_upOnly.txt	Th17_upOnly	1170	0	28	17	0.00116420783495	0.23284156699	Ahr Chd7 Cndp2 Ctla4 Egln3 Eif4e3 Gpr15 Igfbp4 Il21 Malt1 Pdpn Pim1 Satb1 Tec Tiparp Ucp2 Vim
Elf2	Th17_upOnly.txt	Th17_upOnly	1170	0	33	19	0.0014783558157	0.294192807324	Acsl4 Adam19 Arid5a Batf Casp6 Chd7 Cyfip2 Emb Emp3 Furin Glipr2 Gpr65 Il2ra Itgam Lgals1 Lgals3 Ltb Tec Treml2
