	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
1700010J16Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2316	3.0418	3.0418
1700010K23Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700011A15Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700011B04Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700011E24Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.2716	3.0418
1700011H14Rik	3.0418	3.7476	4.0578	4.3753	3.8936	3.4748	3.0418	3.7955	4.3759	3.0418	4.1012	3.7657	3.7519	3.0418	4.1195	3.3654	3.0418
1700011I03Rik	3.6309	3.0418	3.0418	3.0418	3.0418	3.0418	3.7207	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700011L22Rik	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.5777	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700011M02Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700012A03Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1700012B07Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.5777	3.0418	3.5395	 4.182	3.4904	3.4545	3.0418	3.0418	3.0418	3.0418
1700012B09Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.4545	3.0418	3.0418	3.0418	3.0418
1700012D01Rik	 5.417	5.7935	 5.827	6.3857	5.9817	5.2232	5.6001	6.1903	6.0123	6.4258	6.2015	5.7001	5.8066	5.5654	5.1621	5.1744	4.8332
1700012D14Rik	4.4395	4.2417	4.9156	4.6492	4.7749	4.8143	4.6375	5.4082	5.0588	 4.857	4.6172	 4.404	4.1127	4.5717	4.8683	4.3099	4.6347
1700012I11Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
