	media(1h)	Th0(1h)	Th0(3h)	Th0(6h)	Th0(16h)	Th0(48h)	Th17(1h)	Th17(3h)	Th17(6h)	Th17(9h)	Th17(12h)	Th17(16h)	Th17(24h)	Th17(48h)	Th1(48h)	Th2(48h)	Treg(48h)
1110028F18Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1110032A03Rik	 6.125	 5.356	5.9587	5.4973	6.0206	6.6474	5.2064	5.3669	5.0145	5.1853	5.1807	5.3602	5.4859	6.5593	6.4443	 6.669	6.5675
1110032F04Rik	10.1117	9.38778	10.2295	10.0129	10.5046	9.95404	7.13374	9.55703	10.5432	11.0587	11.1248	11.0251	9.95643	 8.9074	 9.8157	10.4718	11.0156
1110034G24Rik	8.7844	8.5164	8.4261	8.0656	7.7424	6.7737	8.0504	7.0701	7.9687	8.7879	8.4633	8.4758	8.1372	7.0031	 6.587	6.4847	7.5201
1110036E04Rik	3.0418	3.0418	3.7675	3.0418	3.0418	3.0418	3.7207	3.5777	3.7264	3.0418	3.6625	3.0418	3.0418	3.0418	3.0418	3.4848	3.0418
1110037F02Rik	11.7263	11.8906	11.4461	11.3303	11.7434	11.6186	11.6455	11.2098	11.1339	11.0041	11.1142	11.2636	 11.283	11.6378	11.7229	11.5707	11.6042
1110038B12Rik	7.46092	7.31118	8.72723	 9.9316	10.6313	10.0198	7.47316	8.84571	9.85525	10.5252	10.7363	10.7449	10.6483	9.92745	10.0196	10.0253	9.98599
1110038F14Rik	7.9822	7.9742	 8.517	8.6533	8.4626	8.5215	8.4383	8.9332	8.9413	9.3063	  9.16	8.8538	9.1325	8.2015	8.3427	8.3399	8.1246
1110046J04Rik	3.6309	3.7476	3.0418	3.0418	3.0418	3.6844	3.7207	3.0418	3.7264	3.0418	3.0418	3.0418	3.4545	4.0248	 3.864	3.3002	 4.007
1110051M20Rik	6.3157	6.3214	5.7707	6.1984	7.1827	7.4189	6.2289	5.9662	6.4823	6.3571	6.7747	7.0096	7.1656	7.5581	7.2316	6.9774	7.2719
1110054M08Rik	5.1473	5.1135	4.3667	3.8295	4.5503	4.7852	5.9497	4.7313	3.8765	4.4053	4.4519	4.1363	4.5251	 5.302	 4.795	4.6162	4.8428
1110057K04Rik	9.57735	9.57441	10.0687	10.5178	 10.732	10.4188	9.27617	9.96645	10.5137	 10.554	10.5085	10.4386	10.1847	9.73786	10.2038	10.1295	 9.9503
1110058L19Rik	6.0031	 5.496	6.3506	6.6084	7.2306	7.0223	5.8106	6.6563	6.5127	7.1966	7.1031	6.7792	 6.887	6.8178	7.1629	6.6625	6.8507
1110059E24Rik	7.6228	7.4997	 7.319	7.7898	8.4935	8.7327	9.0969	7.6853	7.3443	7.8078	8.2486	 8.523	 9.227	9.1196	9.0128	 8.881	9.0742
1110059G10Rik	  8.23	8.1378	7.9237	8.0173	8.1254	7.9752	8.0903	8.0091	   7.7	8.0643	8.1537	7.7431	8.2509	7.8715	7.9849	7.9911	7.7314
1110065P20Rik	 5.465	4.6959	5.5529	6.2232	  6.54	6.4252	5.4813	6.6228	6.6421	6.8314	6.6683	6.7225	7.1656	 6.371	6.3564	6.8179	6.6252
1190002F15Rik	6.0346	 6.125	4.3667	4.0009	3.6561	8.2207	5.8106	4.9226	3.7264	3.7423	3.6625	3.7025	7.3087	8.7606	8.0173	8.3707	8.4339
1190002N15Rik	10.2665	9.86315	9.43235	 8.7366	8.77523	9.40969	9.52925	9.57019	8.94679	8.34929	8.63327	8.82144	9.69222	10.3136	9.63123	9.62786	9.97085
1190003K10Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1190005I06Rik	3.0418	3.0418	3.5576	4.3753	4.2446	4.8623	3.9934	4.2145	4.2949	4.0232	4.3907	4.3621	4.7857	4.6869	5.1363	 5.061	5.3046
1190007I07Rik	 5.834	5.1135	7.0319	7.5293	7.7414	7.7551	5.4177	7.4584	7.8136	8.2306	 8.138	7.8471	7.8745	7.5769	7.3987	7.4818	7.2523
1200014J11Rik	10.4254	 10.632	10.1317	10.3415	10.5434	10.5877	 10.751	10.1499	10.2572	10.2317	10.3686	10.5023	10.8308	10.7485	10.6627	10.6993	10.7793
1300002E11Rik	 9.867	9.5122	9.5144	9.0527	8.1667	7.7213	9.1962	9.2998	8.7101	 8.631	8.5875	8.2327	7.7973	7.6384	  7.55	7.5855	7.8465
1300002K09Rik	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418
1300017J02Rik	3.0418	3.7476	3.5576	3.0418	3.4723	3.4748	3.7207	3.0418	3.0418	3.0418	3.0418	3.4663	3.4545	  3.56	3.2316	3.0418	3.2895
1500004A13Rik	6.6339	6.6474	7.2192	6.9559	7.0436	6.3146	6.4617	6.9807	6.8702	6.7403	6.3883	6.7528	 6.139	6.4096	 6.247	6.4781	6.4797
1500009C09Rik	3.0418	3.0418	3.5576	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.3375	3.3002	3.0418
1500009L16Rik	3.6309	3.7476	3.0418	3.0418	3.0418	4.9763	3.0418	3.0418	3.0418	3.0418	3.0418	3.0418	3.6235	 4.524	 4.947	5.0189	4.9801
1500011B03Rik	8.3763	7.5779	 7.955	7.8142	7.7156	7.8118	7.7723	 7.636	7.9687	7.8331	7.6573	7.5174	7.6391	7.6362	7.7147	 7.755	7.3491
