GO:0060795 cell_fate_commitment_involved_in_formation_of_primary_germ_layer Nodal|Hoxa11|Ctnnb1|Rtf1|Foxc2|Wnt3a|Etv2|Cdc73|Smad1|Six2|Eomes|Leo1|Ctr9|Gata6|Fgfr1|Sfrp2|Paf1|Hnf1b|Bmpr1a|Pax2|Elf5|Bmp4|Nanog|Sox17|Ets2|Pou5f1|Mesp1|Eya1
GO:0043200 response_to_amino_acid Dnmt3b|Dnmt3a|Mir101b|Mir101a|Mir130a|Mir674|Mir676|Mir92-1|Mir1983|Mir92-2|Mir107|Mir466g|Mir379|Col3a1|Mir872|Mirlet7f-1|Col1a2|Mir762|Col1a1|Zeb1|Mir365-2|Mir365-1|Cebpb|Egfr|Mmp3|Mir194-1|Ipo5|Socs1|Mir466h|Mir802|Mir714|Mir378a|Mir30e|Mir30d|Mir200b|Mir30a|Cpeb4|Cpeb1|Cpeb3|Col5a2|Mir669c|Mir669f|Mir15a|Mir15b|Mirlet7a-2|Mir708|Mir425|Mir194-2|Mir216b|Mir421|Mirlet7f-2|Mir155|Mir151|Mir382|Col16a1|Mirlet7d|Pdgfc|Pdgfd|Mirlet7i|Mir103-1|Mir200c|Mir103-2|Mir145a|Mir222|Mir221|Mir224|Col4a6|Mirlet7a-1|Col4a1|Mir1948|Ntrk2|Glra4|Mir466f-4|Tnf|Mir466f-1|Mir466f-2|Mir466f-3|Mir1224|Gprc6a|Mir199a-2|Pdgfra|Mir199a-1|Mir1894|Mir137|Mir134|Mir191|Mir192|Mir31|Aars|Mir429|Capn2|Mir99a|Mir29c|Sesn1|Sesn2|Sesn3|Mir34a|Mir193a|Mir203|Mir455|Cdh1|Mir351|Mmp2|Mir466j|Mir466i|Mir122|Bcl2l1|Neurl1a|Mir92b|Dnmt1|Mir183|Mir22|Col6a1|Slc1a2|Xbp1|Cfl1|Mir217|Mir214|Mir451a|Mtor|Mir486|Mir342|Mir346
GO:0008210 estrogen_metabolic_process Pdgfra|Cyp1b1|H2-Ke6|Sgpl1|Schip1|Plekha1|Sult1e1|Tiparp
GO:0019915 lipid_storage Acvr1c|Hexa|Hexb|Nrip1|Cav1|Fto|Msr1|Pnpla2|Cd36|Mest|Dgat1|Ffar2|Zc3h12a|Plin5|Plin2|Nr1h2|Nr1h3|Abcg1|Dgat2|Ehd1|Acacb|Fitm2|Fitm1|Ptpn2|Cidea|Sirt1|B4galnt1|Gm2a|Cry1|Cry2|Stat5b|Stat5a|Alkbh7|Apoa1|Abhd5
GO:0006511 ubiquitin_dependent_protein_catabolic_process Axin1|Psen2|Psen1|Rbbp6|Fbxo22|Fbxl12|Mylip|Ubr3|Ubr2|Ubr1|Zfand2a|Ube2j1|Arih1|Spop|Usp44|Sumo3|Rnf180|Ndfip1|Dnajc10|Rnf6|Gipc1|Edem3|Herpud1|Ptk2|Fbxl3|Fbxl2|Fbxl7|Akt1|Shh|Atxn3|Pbk|Fbxw11|Ppp2cb|Csnk1d|Csnk1e|Il33|Sufu|Trim63|Trim67|Tbl1x|Clock|Clec16a|Gsk3a|Gsk3b|Uba6|Fbxl19|Pias1|Psmb5|Fbxo45|1700016K19Rik|Dnajb9|Smarcc1|Trim72|Ube2d3|Trib1|Gna12|Ube2l3|Trib2|Edem1|Wfs1|Mtm1|Nedd4|Klhl40|Rnf34|Egf|Arih2|Sirt2|Wnt1|Man1b1|Nedd4l|Ptk2b|Rbx1|Cul3|N4bp1|Ube4b|Wwp1|Stub1|Cul4a|Disc1|Tor1a|Wwp2|Mdm2|Fbxw5|Itch|Hdac6|Lnx1|Chfr|Bag6|Rnf11|Gba|Wwtr1|Gclc|Anks1|Ube2g2|Arntl|Tbl1xr1|Senp1|Fbxo2|Agap3|Ate1|Fbxo6|Fbxo8|Cul1|1500015O10Rik|Ube2h|Ube2k|Cdkn2a|Znrf1|Lrrk2|Siah1a|Wnt10b|Vcp|Ube2z|E330034G19Rik|Ube2w|Asb2|Trp53inp2|Trim38|Skp2|Ubd|Ube3a|Ube2n|Skp1a|Park2|Aurka|Rlim|Xbp1|Ccdc47|Atg7|Rnf111
GO:0006515 misfolded_or_incompletely_synthesized_protein_catabolic_process Stub1|Tor1a|Atxn3|Ube2w
GO:0051145 smooth_muscle_cell_differentiation Ntf3|Six1|Npnt|Prdm6|Fgfr2|Myocd|Nfatc4|Adm|Hey2|Mir145a|Mir143|Notch1|Mkl2|Ctnnb1|Pitx2|Hes1|Smarca2|Fgf10|Smarca4|Wnt4|Med28|Nfatc3|Srf|Sgcb|Sox9|Tmem204|Foxf1|Shh|Ankrd17|Ednrb|Agt|Zeb1|Wnt7b|Itga8|Mef2c|Bmp4|Acvr1|Tshz3|Ramp2|Tbx18
GO:0007268 chemical_synaptic_transmission Ngf|Slc6a9|Kif1b|Snap25|Adora1|Psen2|Psen1|Chrna3|Lynx1|Otof|Myo6|Ctnnb1|Sncg|Cux2|Ntf3|Sncb|Cpeb3|Nf1|Snca|Neto1|Rgs14|Myo5a|Anapc2|Shank3|Rims1|Rims2|Snapin|Cplx2|2610042L04Rik|Met|Ctnnd2|Syt1|Drd4|Usp46|Drd2|Dkk1|Cplx1|Cntnap4|Ppt1|Gipc1|Ptprn2|Gria2|Atad1|Mapk1|Nr2e1|Fgf12|D730048I06Rik|Cadps|Atxn1|Cd24a|Drd1|Tmod2|Hras|Shisa9|Agrn|Car2|Pate4|Fgf14|Abhd6|Gjd2|Rac3|Rac1|Kalrn|Camk2a|Camk2b|Pten|Synj1|Napb|Napa|Grin1|Gabrb3|Grid2ip|Stx1a|Scrib|Stx1b|Syngr1|Shc3|Cpeb1|Eif2ak4|Syt7|Shank2|Grin2b|Cplx3|Pfn2|Grin2a|Shank1|Cplx4|Gabrg2|Cacna2d2|Baiap2|Syn2|Park7|Syn1|Plk2|Srf|Cacnb4|Cspg5|Dlg2|Ophn1|Crhbp|Camk4|Stxbp1|Slc24a2|Dmpk|Nrxn3|Wnt7a|Dbi|Lama2|Slitrk5|Apba3|Egr3|Grid2|Plcl2|Kcnma1|Plcl1|Syngap1|Cdk5|Chat|Ppp3ca|Kcnb1|Atp2b2|Pak1|Kras|Adora2a|Drd5|Rin1|Kif5b|Slc17a7|Paip2|Chrna10|Fmr1|Dgki|Gabrg1|P2rx3|P2rx2|Gfap|Slc8a3|P2rx7|Kcnc4|Itpka|Gls|Etv5|Rasd2|Atp2a2|Kcnc3|Arid1b|Lrp8|Chrnb2|Asic1|Chrnb4|Syt4|Snap91|Hrh1|Pink1|Itpr3|Vdac1|Npy5r|Neurod2|Ephb2|Vamp2|Igsf9b|Rasgrf1|Rasgrf2|Tnr|Glra1|Sorcs3|Als2|Nrxn2|Nrxn1|Chrna4|Vdac3|Chrna7|Prkaca|Braf|Usp14|Eif4ebp2|Serpine2|Flot1|Kmt2a|Kcnj10|Dlg4|Rab3gap1|Clcn3|S1pr2|Gria1|Car7|Cdc20|Cntn2|Htt|Arrb2|Cadps2|Nat8l|Stx3|Mapk8ip2|Reln|Celf4|Th|Lrrk2|Cacna1a|Cacna1b|Cacna1c|Cacna1g|Mef2c|Jph3|Pnkd|Pcdh17|Jph4|Dtnbp1|Apba1|Syde1|Clstn1|Clstn2|Clstn3|Lin7a|Lin7c|Lin7b|Nlgn2|Nlgn3|Nlgn1|Cacnb2|Apba2|Glrb|P2rx4|Gjc1|Cdh8|Syp|Lrrtm1|Rab3a|Lrrtm2|Edn1|Hrh2|Npas4|Mgll|Nps|S100b|Neurl1a|Nptn|Lypd1|Grik1|Grik2|Slc5a7|Prkce|Grik5|Prkcg|Park2|Slc12a5|Sez6|Grin2c|Doc2b|Dnm1|Ntrk2|Tpgs1|Slc8a2|Slc1a3|Ghrl|Mecp2|Mylk2|Rap1b|Rap1a|Snap47|Syt10|Dvl1|Unc13b|Unc13c|Unc13a|Grm4|Grm5|Bdnf|Grm7|Pafah1b1|Grm2
GO:0007265 ras_protein_signal_transduction Usp8|Dgkz|Rabgef1|Pecam1|Abra|Wasf2|Arhgap42|Kalrn|Synj2bp|Srgap1|Mcf2l|Sdcbp|Dgki|Flot1|Nf1|Aatk|Lpar2|Arap3|Lpar1|Iqgap3|Rap2b|Phactr4|Rfxank|Rap2a|Rhoj|Stmn3|Trim67|Ralgapb|Cdc42ep4|Rgl2|Csf1|Rhou|Spry2|Spry1|Itpkb|Gna12|Gna13|Arhgdia|Col3a1|Bcl6|Aif1|Ralgapa2|Icmt|Itgb1|Hacd3|Ulk1|Dbnl|Rasgrf1|Rapgef1|Rap2c|Cdc42ep1|Arhgef2|Tgfb2|Cdc42ep5|Ssx2ip|Itga3|F2r|Celsr1|Eps8|Arhgap24|Myo9b|Vangl2|Abl2|Scai|Rasgrp3|Tnk1|Nup62|Nisch|Rsu1|Rras2|Kitl|Ksr1|Syngap1|Dok3|Dok1|Dok2|Adgrg1|Nrg1|F2rl1|Kras|Arhgap35
GO:0016056 rhodopsin_mediated_signaling_pathway Rdh11|Opn4|Pcp2|Rs1
