TF	GeneSet_ID	GeneSetName	#Set genes	Direction	#TF targets	# in overlap	P_raw	P_adj	EnrichedGenes
Runx1	Th17_upOnly.txt	Th17_upOnly	1170	up	66	32	0.0023149011372	0.831049508255	1600014C10Rik Abi3 Adam19 Adarb1 Arid5a Cd28 Cdkn2d Cpd Cpox Dst Egln3 Ehd4 Emp1 Furin Gpr65 Hif1a Id2 Il1r1 Il2ra Itgam Lpxn Malt1 Nedd4 Pim1 Procr Ptgfrn Rbpj Rora Smox Susd3 Tnfrsf25 Tnip2
Tigd2	Th17_downOnly.txt	Th17_downOnly	1248	up	8	7	0.00255252995449	0.913805723708	Adam10 Asf1a Ccdc50 Cd81 Cyp51 Erap1 Myo6
Mxd1	Th17_upOnly.txt	Th17_upOnly	1170	up	32	18	0.00280419650005	1	1600014C10Rik Ahr Ass1 Cpd Cyfip2 Cyth4 Ehd4 Emb Furin Gngt2 Ikzf3 Klhl6 Maf Nedd4 Pim1 Rnf149 Smox Tiparp
Gtf2i	Th17_upOnly.txt	Th17_upOnly	1170	down	5	5	0.00295089438814	1	Cysltr1 Gmfg Il17f Lgals1 Pdpn
Skil	Th17_upOnly.txt	Th17_upOnly	1170	up	37	20	0.00313107265328	1	AA467197 Abi3 Aqp3 Atp2b4 Cpd Ctla4 Dst Ehd4 Emp1 Furin Gpr15 Il21 Malt1 Mt2 Nedd4 Pmepa1 Rora Sept9 Sesn3 Tnip2
Stat3	Th17_upOnly.txt	Th17_upOnly	1170	up	40	21	0.00395352091877	1	Acsl4 Adarb1 Aes Atp2b4 Bdh2 Cndp2 Cpd Cpox Ctla4 Cyfip2 Egln3 Igfbp4 Ikzf3 Il1r1 Il2ra Klhl6 Pdpn Rbpj Rora Treml2 Znrf1
Fli1	Th17_upOnly.txt	Th17_upOnly	1170	down	9	7	0.00546414189478	1	Cpd Furin Il17f Itgam Lgals1 Rnf149 Rora
Zkscan1	Th17_upOnly.txt	Th17_upOnly	1170	up	18	11	0.00833834505738	1	Adarb1 Ass1 Cpd Eif4e3 Igfbp4 Itgam Klhl6 Klrd1 Maf Procr Rora
Nme2	Th17_upOnly.txt	Th17_upOnly	1170	up	16	10	0.00958214333484	1	AA467197 Lpxn Ly6c1 Mt2 Rnf149 Sgk1 Smox Susd3 Ucp2 Znrf1
Hivep3	Th17_upOnly.txt	Th17_upOnly	1170	down	14	9	0.0108994998294	1	Aqp3 Crip1 Gngt2 Klhl6 Klrd1 Lgals1 Mt2 Serpinb1a Timp1
Tcf7	Th17_upOnly.txt	Th17_upOnly	1170	up	14	9	0.0108994998294	1	Abi3 Fau Il21 Rora Sesn3 Tgm2 Tiparp Treml2 Ucp2
Stat5b	Th17_upOnly.txt	Th17_upOnly	1170	up	12	8	0.0122042227002	1	Bdh2 Cish Il4ra Lgals3 Ltb Ly6e Pla2g12a Znrf1
Mbnl2	Th17_upOnly.txt	Th17_upOnly	1170	up	6	5	0.0131118442133	1	Atp2b4 Furin Ikzf3 Itgam Tnfrsf25
Sp3	Th17_upOnly.txt	Th17_upOnly	1170	up	31	16	0.0139765603849	1	1600014C10Rik Ahr Bcl2 Bdh2 Cdkn2d Cish Cnn2 Ikzf3 Il4ra Nedd4 Pim1 Pla2g12a Rbpj Rnf19b Tiparp Ucp2
Bcl11b	Th17_upOnly.txt	Th17_upOnly	1170	up	19	11	0.0142905689909	1	AA467197 Adarb1 Bdh2 Cpd Fth1 Gngt2 Itgam Pmepa1 Rorc Tec Ucp2
Ski	Th17_upOnly.txt	Th17_upOnly	1170	up	19	11	0.0142905689909	1	AA467197 Abi3 Adarb1 Arid5a Emp3 Id2 Ly6c1 Maf Smox Tgm2 Treml2
Jun	Th17_upOnly.txt	Th17_upOnly	1170	up	57	26	0.0151352512363	1	Acsl4 Adarb1 Bdh2 Capg Chmp4b Cpox Ctla4 Cyfip2 Cysltr1 Cyth4 Dst Emb Emp3 Gpr15 Ikzf3 Il2ra Lpxn Mt1 Nipal1 Pla2g12a Pmepa1 Sema4d Sept9 Sesn3 Tec Tgm2
Hivep3	Th17_downOnly.txt	Th17_downOnly	1248	up	31	16	0.0263126754153	1	Asf1a B4galnt1 Btla Bzw2 Casp3 Ccdc50 Ccng1 Cd44 Cyp51 Gimap4 Inpp4b Itgb1 Lrmp Oxct1 Ptprc Tnfaip8
Etv6	Th17_upOnly.txt	Th17_upOnly	1170	up	38	18	0.0264186172473	1	Acsl4 Batf Bnip3 Cish Galk1 Glipr2 Gpr65 Higd1a Lgals3 Lta Mxd1 Pla2g12a Plod2 Ptgfrn Socs1 Tnip2 Treml2 Ucp2
Snapc5	Th17_upOnly.txt	Th17_upOnly	1170	up	11	7	0.0268375986591	1	Ass1 Bnip3 Casp6 Higd1a Il9 Itgam Ptgfrn
Trp53	Th17_upOnly.txt	Th17_upOnly	1170	up	11	7	0.0268375986591	1	Capg Crem Cyth4 Emb Klhl6 Ly6c1 Ptgfrn
Rbpj	Th17_upOnly.txt	Th17_upOnly	1170	up	18	10	0.0274726925063	1	Arid5a Capg Ehd4 Hif1a Id2 Ikzf3 Krtcap2 Susd3 Tgm2 Treml2
Zeb1	Th17_upOnly.txt	Th17_upOnly	1170	up	23	12	0.0289544511552	1	AA467197 Atp2b4 Cndp2 Egln3 Fth1 Il1r1 Il21 Lgals3 Lpxn Mt2 Nedd4 S100a13
Irf8	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Dst Il10 Itgam Maf Pmepa1 Rora
Max	Th17_upOnly.txt	Th17_upOnly	1170	down	9	6	0.0306802367866	1	Acsl4 Cpd Dst Maf Pdpn Sept9
Elf2	Th17_upOnly.txt	Th17_upOnly	1170	up	16	9	0.032914088876	1	Cndp2 Cyfip2 Emp3 Hif1a Il2ra Pim1 Rnf19b Satb1 Tec
Nrf1	Th17_upOnly.txt	Th17_upOnly	1170	down	7	5	0.0341019057494	1	AA467197 Abi3 Emp3 Mt2 Rnf149
Arid2	Th17_upOnly.txt	Th17_upOnly	1170	up	7	5	0.0341019057494	1	Ehd4 Sept9 Sesn3 Smox Znrf1
Zfp318	Th17_upOnly.txt	Th17_upOnly	1170	up	21	11	0.0348826344569	1	Acsl4 Adarb1 Cpd Cysltr1 Gngt2 Ikzf3 Klhl6 Malt1 Mxd1 Ptgfrn Tec
Stat5a	Th17_upOnly.txt	Th17_upOnly	1170	down	5	4	0.0355600489509	1	Ctla2a Cyth4 Il17a Il9
Zfp1	Th17_upOnly.txt	Th17_upOnly	1170	up	14	8	0.0394603862481	1	Adam19 Atp2b4 Cyth4 Eif4ebp1 Il4ra Nipal1 Rnf149 Znrf1
Srebf1	Th17_upOnly.txt	Th17_upOnly	1170	up	14	8	0.0394603862481	1	Batf Chd7 Hemk1 Id2 Itgam Lgals3 Ly6c1 Pim1
Hivep2	Th17_upOnly.txt	Th17_upOnly	1170	up	24	12	0.0418528121571	1	Arid5a Chd7 Eif4ebp1 Ero1l Il10 Il4ra Lta Ly6e Rorc Sept9 Tec Znrf1
Baz2a	Th17_upOnly.txt	Th17_upOnly	1170	up	12	7	0.0473243250018	1	Abi3 Cd28 Cdkn2d Cndp2 Ehd4 Sept9 Znrf1
Batf	Th17_upOnly.txt	Th17_upOnly	1170	up	17	9	0.0509946269468	1	Abi3 Adarb1 Cnn2 Crem Glipr2 Il2rb Npc2 Ptgfrn Tgm2
Klf13	Th17_upOnly.txt	Th17_upOnly	1170	up	17	9	0.0509946269468	1	Ass1 Atp2b4 Cndp2 Emp1 Ikzf3 Mt2 Mxd1 Nedd4 Tgm2
Nfe2l2	Th17_upOnly.txt	Th17_upOnly	1170	up	30	14	0.0542808117926	1	Cdkn2d Crem Egln3 Emb Lgals3 Lta Ltb Ly6e Mt2 Pla2g12a Satb1 Smox Socs1 Znrf1
Kcmf1	Th17_upOnly.txt	Th17_upOnly	1170	up	10	6	0.05672607477	1	Bdh2 Bnip3 Glipr2 Gmfg Pla2g12a Ptgfrn
Atf4	Th17_upOnly.txt	Th17_upOnly	1170	down	8	5	0.0678225705464	1	Cpd Ikzf3 Lgals1 Maf Rora
Maf	Th17_downOnly.txt	Th17_downOnly	1248	down	90	37	0.0714513707281	1	Acsl5 Asf1a B4galnt1 Btla Bzw2 Casp3 Ccdc50 Ccng1 Cd44 Cd81 Celf2 Cenpw Cox17 Cyp51 Dcp2 Erap1 Gimap4 Grap Igtp Inpp4b Itgb1 Itm2a Lrmp Mllt3 Myo6 Oxct1 Psme2 Ptprc Rab8b Rilpl2 Samsn1 Sell Snhg6 Tapbp Tlk1 Tnfaip8 Utp20
Atf4	Th17_downOnly.txt	Th17_downOnly	1248	up	10	6	0.0760172513145	1	Ccdc50 Celf2 Erap1 Gimap4 Mllt3 Utp20
Gtf2b	Th17_upOnly.txt	Th17_upOnly	1170	up	6	4	0.0804564584461	1	Itgam Ly6c1 Nedd4 S100a13
Nfkb1	Th17_downOnly.txt	Th17_downOnly	1248	up	15	8	0.0874353585303	1	B4galnt1 Ccdc50 Cd44 Cd81 Celf2 Igtp Tapbp Trmt11
Rara	Th17_downOnly.txt	Th17_downOnly	1248	down	8	5	0.087443056934	1	Celf2 Cenpw Igtp Mllt3 Psme2
Plscr1	Th17_upOnly.txt	Th17_upOnly	1170	up	11	6	0.0925922460957	1	Cd28 Lgals1 Ltb Rorc S100a13 Tnfrsf25
Cebpg	Th17_upOnly.txt	Th17_upOnly	1170	up	24	11	0.0945522946981	1	Batf Bcl2 Ccnd3 Cndp2 Eif4ebp1 Higd1a Ikzf3 Ly6a Ly6c1 Pla2g12a Smox
Mga	Th17_downOnly.txt	Th17_downOnly	1248	up	6	4	0.0996980552479	1	Hist1h1d Mllt3 Oxct1 Ptprc
